,bov,skill,agility,power,mentality,defending,goalkeeping,total_stats
82,62,16.186414056238647,74.0,236,225,4.605170185988092,4.060443010546419,1488
83,57,15.84297951775486,70.0,243,236,4.718498871295094,3.4339872044851463,1448
84,53,15.524174696260024,78.0,196,204,4.532599493153256,3.912023005428146,1319
85,77,19.570385790780925,70.0,369,328,5.153291594497779,3.9889840465642745,2010
86,58,16.881943016134134,73.0,263,241,4.948759890378168,3.9318256327243257,1572
87,66,17.204650534085253,84.0,300,235,4.59511985013459,3.7612001156935624,1568
88,60,16.911534525287763,72.0,251,222,4.804021044733257,3.7612001156935624,1519
89,64,16.76305461424021,65.0,267,230,4.499809670330265,3.9889840465642745,1517
90,68,17.204650534085253,76.0,311,242,4.2626798770413155,3.9889840465642745,1579
91,61,17.204650534085253,72.0,262,249,4.653960350157523,3.7612001156935624,1530
92,58,15.748015748023622,77.0,252,199,4.290459441148391,4.04305126783455,1404
93,67,17.74823934929885,84.0,255,245,4.584967478670572,3.912023005428146,1639
94,70,18.65475810617763,71.0,317,296,5.056245805348308,3.7376696182833684,1803
95,59,16.61324772583615,60.0,266,253,4.836281906951478,3.8066624897703196,1526
96,65,18.57417562100671,67.0,243,325,4.859812404361672,4.127134385045092,1703
97,72,19.026297590440446,68.0,296,319,4.584967478670572,3.912023005428146,1772
98,76,19.621416870348583,87.0,309,283,4.624972813284271,4.060443010546419,1855
99,59,16.3707055437449,67.0,271,260,4.852030263919617,3.9318256327243257,1530
100,63,16.522711641858304,67.0,240,245,4.859812404361672,3.9318256327243257,1523
101,73,18.601075237738275,70.0,339,285,4.844187086458591,3.6375861597263857,1780
102,63,17.69180601295413,70.0,301,251,4.844187086458591,4.07753744390572,1615
103,60,17.175564037317667,57.0,250,242,4.795790545596741,3.871201010907891,1517
104,56,15.748015748023622,62.0,233,217,4.867534450455582,3.871201010907891,1419
105,64,18.0,77.0,310,273,5.081404364984463,3.9889840465642745,1754
106,65,17.52141546793523,78.0,300,249,4.653960350157523,3.9512437185814275,1646
107,54,15.394804318340652,66.0,244,227,4.762173934797756,3.9318256327243257,1404
108,64,17.378147196982766,68.0,284,246,4.820281565605037,4.0943445622221,1606
109,55,16.64331697709324,64.0,212,215,4.499809670330265,3.970291913552122,1382
110,59,17.204650534085253,58.0,236,228,4.852030263919617,3.9512437185814275,1486
111,56,16.30950643030009,87.0,213,210,4.634728988229636,3.828641396489095,1434
112,64,17.26267650163207,78.0,228,235,4.624972813284271,3.58351893845611,1495
113,66,17.406895185529212,72.0,324,282,4.59511985013459,4.07753744390572,1686
114,57,16.30950643030009,63.0,284,211,4.634728988229636,3.713572066704308,1431
115,72,18.49324200890693,83.0,343,313,4.7535901911063645,4.127134385045092,1873
116,58,16.217274740226856,70.0,281,238,4.867534450455582,3.7376696182833684,1524
117,62,17.46424919657298,58.0,247,236,5.0238805208462765,3.4657359027997265,1569
118,71,18.547236990991408,78.0,333,313,4.812184355372417,4.02535169073515,1840
119,66,16.186414056238647,86.0,278,234,3.8918202981106265,4.060443010546419,1522
120,75,19.28730152198591,87.0,308,305,4.804021044733257,3.8918202981106265,1863
121,74,18.867962264113206,77.0,354,340,5.272999558563747,3.8918202981106265,1985
122,66,18.16590212458495,67.0,346,288,4.787491742782046,4.1588830833596715,1783
123,73,19.078784028338912,79.0,288,286,4.919980925828125,3.9889840465642745,1804
124,78,19.157244060668017,81.0,350,310,4.875197323201151,4.007333185232471,1909
125,63,17.05872210923198,87.0,246,229,4.553876891600541,4.02535169073515,1544
126,78,19.6468827043885,82.0,296,335,5.123963979403259,3.58351893845611,1929
127,60,16.76305461424021,79.0,242,230,4.844187086458591,3.8501476017100584,1514
128,66,17.378147196982766,59.0,311,283,4.795790545596741,3.9318256327243257,1653
129,68,17.97220075561143,70.0,294,282,4.564348191467836,4.143134726391533,1726
130,67,17.804493814764857,82.0,236,243,4.499809670330265,3.970291913552122,1582
131,70,18.466185312619388,61.0,369,348,4.962844630259907,3.9889840465642745,1900
132,63,18.138357147217054,72.0,275,242,5.062595033026967,3.912023005428146,1696
133,73,18.894443627691185,83.0,303,272,4.875197323201151,4.02535169073515,1796
134,65,18.841443681416774,77.0,281,264,4.48863636973214,4.007333185232471,1684
135,62,16.64331697709324,53.0,272,238,4.859812404361672,3.828641396489095,1515
136,61,17.0,69.0,283,276,4.8283137373023015,3.9318256327243257,1608
137,65,17.291616465790582,74.0,273,252,4.663439094112067,3.828641396489095,1594
138,61,16.583123951777,82.0,236,227,4.6443908991413725,3.8066624897703196,1495
139,77,19.183326093250876,84.0,341,315,4.927253685157205,3.970291913552122,1926
140,59,16.278820596099706,68.0,242,230,4.77912349311153,4.04305126783455,1486
141,62,16.97056274847714,70.0,239,216,4.499809670330265,3.871201010907891,1421
142,80,19.4164878389476,85.0,368,354,4.867534450455582,4.04305126783455,2050
143,76,19.748417658131498,79.0,336,333,4.787491742782046,3.6888794541139363,1960
144,68,17.146428199482248,72.0,288,240,4.882801922586371,3.7376696182833684,1619
145,57,17.029386365926403,44.0,212,238,4.997212273764115,4.110873864173311,1503
146,72,18.841443681416774,66.0,348,320,4.77912349311153,4.007333185232471,1838
147,67,18.083141320025124,82.0,251,266,4.882801922586371,4.02535169073515,1681
148,63,16.55294535724685,69.0,286,233,4.852030263919617,4.110873864173311,1558
149,65,17.549928774784245,73.0,308,297,5.181783550292085,3.912023005428146,1773
150,56,15.394804318340652,63.0,273,246,4.795790545596741,3.7612001156935624,1457
151,59,16.492422502470642,62.0,281,262,4.919980925828125,3.784189633918261,1551
152,67,18.2208671582886,72.0,291,300,4.804021044733257,3.784189633918261,1722
153,61,17.578395831246947,59.0,272,236,4.770684624465665,3.9318256327243257,1573
154,69,17.60681686165901,90.0,350,301,4.941642422609304,4.127134385045092,1842
155,73,19.0,75.0,352,295,4.700480365792417,4.007333185232471,1902
156,63,16.822603841260722,79.0,279,223,4.875197323201151,3.970291913552122,1574
157,65,17.88854381999832,75.0,274,228,4.418840607796598,4.174387269895637,1565
158,58,15.84297951775486,74.0,261,221,4.574710978503383,3.8501476017100584,1473
159,59,16.792855623746664,78.0,257,262,4.941642422609304,3.8066624897703196,1556
160,61,17.406895185529212,55.0,246,241,4.90527477843843,3.828641396489095,1510
161,66,17.4928556845359,75.0,318,244,4.74493212836325,4.0943445622221,1650
162,65,17.291616465790582,76.0,355,299,4.941642422609304,3.9889840465642745,1798
163,62,16.76305461424021,86.0,242,263,4.927253685157205,3.6888794541139363,1566
164,61,16.1245154965971,65.0,284,239,4.564348191467836,3.828641396489095,1512
165,54,15.652475842498529,49.0,243,213,4.875197323201151,3.828641396489095,1404
166,72,19.078784028338912,82.0,348,319,4.718498871295094,3.8066624897703196,1917
167,71,18.49324200890693,79.0,312,271,4.875197323201151,4.07753744390572,1791
168,74,19.44222209522358,92.0,294,267,4.430816798843313,4.23410650459726,1817
169,67,18.110770276274835,66.0,298,254,4.890349128221754,3.9512437185814275,1667
170,61,16.76305461424021,70.0,259,214,4.634728988229636,3.9889840465642745,1503
171,61,16.97056274847714,67.0,270,223,4.672828834461906,4.110873864173311,1514
172,55,15.394804318340652,53.0,276,222,4.736198448394496,3.6635616461296463,1398
173,77,19.8997487421324,77.0,324,327,4.736198448394496,3.9318256327243257,1915
174,61,17.52141546793523,77.0,252,224,4.820281565605037,4.02535169073515,1557
175,61,17.578395831246947,45.0,264,238,5.0238805208462765,3.9318256327243257,1554
176,64,16.911534525287763,73.0,329,277,4.919980925828125,4.007333185232471,1694
177,66,17.549928774784245,77.0,323,309,4.9344739331306915,4.007333185232471,1771
178,78,19.131126469708992,87.0,352,298,4.820281565605037,4.02535169073515,1941
179,59,16.30950643030009,60.0,274,270,5.030437921392435,3.8918202981106265,1573
180,61,16.852299546352718,75.0,236,217,4.465908118654584,3.6888794541139363,1446
181,66,18.027756377319946,74.0,303,299,4.997212273764115,3.871201010907891,1759
182,72,18.788294228055936,84.0,305,282,4.477336814478207,3.9889840465642745,1774
183,73,17.72004514666935,69.0,350,292,5.087596335232384,3.5553480614894135,1827
184,53,15.362291495737216,51.0,254,202,4.736198448394496,4.02535169073515,1363
185,56,16.30950643030009,57.0,222,207,4.59511985013459,4.060443010546419,1386
186,75,18.110770276274835,65.0,384,381,5.220355825078324,3.871201010907891,2041
187,67,18.303005217723125,62.0,318,313,5.003946305945459,3.9889840465642745,1779
188,74,18.788294228055936,77.0,330,296,4.543294782270004,3.912023005428146,1818
189,53,15.7797338380595,65.0,235,237,4.624972813284271,3.9512437185814275,1398
190,63,17.46424919657298,74.0,266,242,4.727387818712341,3.871201010907891,1579
191,60,16.522711641858304,65.0,309,273,4.762173934797756,4.007333185232471,1576
192,72,18.947295321496416,70.0,294,288,4.663439094112067,3.9318256327243257,1806
193,64,17.69180601295413,76.0,331,296,4.852030263919617,3.970291913552122,1750
194,61,17.146428199482248,74.0,243,250,5.003946305945459,3.6375861597263857,1585
195,61,16.941074346097416,76.0,267,233,4.867534450455582,3.871201010907891,1576
196,70,18.65475810617763,70.0,292,340,4.584967478670572,4.04305126783455,1780
197,63,16.492422502470642,74.0,246,261,4.852030263919617,4.007333185232471,1566
198,72,19.1049731745428,72.0,296,250,4.852030263919617,4.110873864173311,1773
199,58,16.186414056238647,81.0,240,237,4.77912349311153,4.204692619390966,1497
200,65,17.916472867168917,70.0,331,294,5.056245805348308,3.713572066704308,1762
201,61,16.522711641858304,76.0,228,216,4.532599493153256,4.04305126783455,1452
202,72,18.49324200890693,75.0,286,301,4.3694478524670215,4.04305126783455,1754
203,66,17.88854381999832,84.0,319,292,5.0689042022202315,3.970291913552122,1815
204,64,17.832554500127006,66.0,303,300,4.997212273764115,3.7612001156935624,1715
205,71,18.601075237738275,72.0,282,255,4.74493212836325,4.02535169073515,1709
206,63,16.703293088490067,56.0,293,256,5.0106352940962555,4.02535169073515,1588
207,81,20.024984394500787,90.0,359,364,5.198497031265826,4.1588830833596715,2133
208,64,17.72004514666935,78.0,265,235,4.5217885770490405,3.8066624897703196,1559
209,56,16.3707055437449,47.0,234,221,4.912654885736052,3.970291913552122,1416
210,80,20.174241001832016,89.0,311,327,4.634728988229636,4.07753744390572,1947
211,60,15.811388300841896,73.0,300,235,4.61512051684126,3.5553480614894135,1455
212,67,18.110770276274835,68.0,340,302,4.59511985013459,4.110873864173311,1789
213,72,18.841443681416774,61.0,369,342,5.220355825078324,3.784189633918261,1948
214,60,15.811388300841896,63.0,304,230,4.394449154672439,3.7612001156935624,1476
215,61,17.320508075688775,65.0,264,242,4.736198448394496,4.174387269895637,1570
216,52,14.933184523068078,64.0,243,201,4.634728988229636,4.060443010546419,1341
217,68,18.138357147217054,74.0,285,258,5.288267030694535,3.871201010907891,1741
218,64,17.11724276862369,70.0,264,279,5.170483995038151,3.912023005428146,1672
219,65,17.549928774784245,75.0,307,262,4.624972813284271,3.8918202981106265,1632
220,79,20.174241001832016,67.0,321,339,5.262690188904886,3.5263605246161616,1965
221,75,18.81488772222678,84.0,346,335,5.062595033026967,4.060443010546419,1959
222,76,19.1049731745428,68.0,331,360,5.303304908059076,4.1588830833596715,1970
223,62,16.278820596099706,58.0,283,273,5.14166355650266,4.110873864173311,1599
224,54,15.84297951775486,55.0,240,249,4.875197323201151,3.784189633918261,1425
225,73,19.364916731037084,76.0,354,315,5.049856007249537,3.828641396489095,1950
226,75,19.390719429665317,73.0,363,349,5.3706380281276624,4.060443010546419,2059
227,57,16.0,61.0,267,213,4.820281565605037,3.828641396489095,1445
228,73,17.97220075561143,57.0,381,335,5.303304908059076,4.007333185232471,1951
229,66,17.86057109949175,74.0,316,262,4.663439094112067,3.9318256327243257,1678
230,64,17.635192088548397,74.0,282,284,5.0106352940962555,4.0943445622221,1697
231,63,16.792855623746664,83.0,253,230,4.624972813284271,3.9512437185814275,1502
232,68,18.138357147217054,63.0,342,265,4.2626798770413155,3.784189633918261,1693
233,76,19.364916731037084,79.0,345,307,4.430816798843313,3.9889840465642745,1894
234,61,17.204650534085253,68.0,244,238,4.605170185988092,4.060443010546419,1523
235,78,19.72308292331602,68.0,319,332,4.330733340286331,2.9444389791664403,1832
236,72,19.026297590440446,90.0,318,278,4.290459441148391,3.912023005428146,1803
237,62,16.09347693943108,74.0,295,232,4.51085950651685,4.02535169073515,1541
238,66,17.804493814764857,67.0,283,289,4.919980925828125,3.871201010907891,1693
239,77,19.6468827043885,86.0,332,304,4.23410650459726,4.07753744390572,1906
240,77,19.6468827043885,88.0,343,304,4.189654742026425,4.07753744390572,1911
241,60,15.198684153570664,68.0,282,214,3.8501476017100584,3.784189633918261,1388
242,72,18.65475810617763,72.0,316,291,4.30406509320417,3.9318256327243257,1759
243,58,16.73320053068151,52.0,242,219,4.61512051684126,3.9318256327243257,1439
244,64,16.941074346097416,55.0,267,241,4.941642422609304,3.871201010907891,1576
245,80,20.591260281974,93.0,308,332,4.382026634673881,3.044522437723423,1925
246,65,17.406895185529212,62.0,305,278,4.969813299576001,3.912023005428146,1668
247,67,18.65475810617763,72.0,300,300,4.634728988229636,4.07753744390572,1762
248,64,17.916472867168917,77.0,252,202,3.6888794541139363,4.07753744390572,1490
249,85,20.54263858417414,83.0,373,360,4.882801922586371,4.110873864173311,2147
250,60,17.378147196982766,64.0,292,217,4.442651256490317,3.784189633918261,1507
251,60,17.349351572897472,68.0,319,240,4.1588830833596715,3.9512437185814275,1584
252,62,16.703293088490067,90.0,223,215,4.51085950651685,3.970291913552122,1428
253,58,16.09347693943108,78.0,285,207,4.6913478822291435,3.7612001156935624,1458
254,68,17.435595774162696,72.0,294,276,4.0943445622221,4.07753744390572,1636
255,67,17.0,81.0,294,265,4.74493212836325,4.07753744390572,1679
256,76,19.1049731745428,72.0,351,353,5.272999558563747,3.828641396489095,2025
257,67,18.027756377319946,74.0,321,267,4.836281906951478,3.8918202981106265,1732
258,72,18.466185312619388,60.0,379,338,5.10594547390058,4.110873864173311,1945
259,75,19.595917942265423,71.0,383,322,4.969813299576001,3.970291913552122,2003
260,72,17.663521732655695,68.0,326,320,5.209486152841421,3.9889840465642745,1877
261,70,17.804493814764857,92.0,310,269,4.653960350157523,4.060443010546419,1726
262,64,17.08800749063506,51.0,326,246,4.532599493153256,3.970291913552122,1584
263,70,19.0,68.0,284,279,4.394449154672439,3.1354942159291497,1686
264,61,16.673332000533065,92.0,261,210,4.770684624465665,3.828641396489095,1548
265,71,18.303005217723125,94.0,345,251,4.762173934797756,3.8918202981106265,1810
266,66,16.55294535724685,81.0,287,224,4.430816798843313,3.912023005428146,1572
267,65,19.467922333931785,68.0,281,284,4.718498871295094,3.7376696182833684,1674
268,78,19.544820285692065,90.0,352,301,4.653960350157523,4.007333185232471,1939
269,86,20.273134932713294,93.0,345,337,4.736198448394496,3.828641396489095,2065
270,76,18.867962264113206,74.0,373,318,4.6913478822291435,3.871201010907891,1932
271,67,17.804493814764857,77.0,311,250,4.406719247264253,4.0943445622221,1655
272,73,19.183326093250876,69.0,345,299,4.532599493153256,4.07753744390572,1832
273,62,17.05872210923198,82.0,232,244,4.584967478670572,4.007333185232471,1529
274,76,19.28730152198591,67.0,365,316,4.553876891600541,3.828641396489095,1891
275,69,18.947295321496416,75.0,342,257,4.127134385045092,4.0943445622221,1745
276,71,18.05547008526779,71.0,309,260,4.382026634673881,3.713572066704308,1656
277,71,18.33030277982336,78.0,350,316,5.003946305945459,3.713572066704308,1910
278,78,19.235384061671343,81.0,336,303,4.663439094112067,3.784189633918261,1878
279,61,16.278820596099706,80.0,269,217,4.912654885736052,3.9512437185814275,1536
280,74,18.411952639521967,87.0,343,280,4.890349128221754,4.007333185232471,1845
281,69,18.788294228055936,56.0,339,334,5.0106352940962555,3.9318256327243257,1857
282,77,19.339079605813716,79.0,336,339,5.147494476813453,4.110873864173311,1979
283,75,18.920887928424502,74.0,366,331,5.153291594497779,3.970291913552122,2001
284,68,17.60681686165901,87.0,280,219,4.584967478670572,4.127134385045092,1641
285,73,18.681541692269406,80.0,311,277,4.77912349311153,4.02535169073515,1754
286,60,16.73320053068151,85.0,266,249,4.844187086458591,3.9512437185814275,1601
287,75,19.05255888325765,75.0,323,340,5.123963979403259,3.8501476017100584,1916
288,61,16.61324772583615,70.0,272,247,4.948759890378168,3.8501476017100584,1576
289,73,18.708286933869708,79.0,329,294,5.170483995038151,4.007333185232471,1896
290,73,19.519221295943137,74.0,325,338,4.795790545596741,4.174387269895637,1907
291,76,18.411952639521967,69.0,347,349,5.181783550292085,4.007333185232471,1961
292,70,18.466185312619388,58.0,312,281,4.997212273764115,4.07753744390572,1763
293,77,19.570385790780925,76.0,342,295,5.170483995038151,4.204692619390966,1962
294,65,17.635192088548397,74.0,304,266,4.68213122712422,3.9889840465642745,1648
295,74,19.493588689617926,74.0,323,322,5.081404364984463,3.9318256327243257,1928
296,74,19.157244060668017,82.0,336,349,5.214935757608986,4.07753744390572,2004
297,77,18.193405398660254,90.0,379,332,5.030437921392435,3.7376696182833684,1967
298,64,17.804493814764857,71.0,337,248,4.997212273764115,3.9318256327243257,1738
299,65,17.88854381999832,70.0,321,294,4.700480365792417,4.23410650459726,1756
300,68,18.35755975068582,62.0,313,292,4.955827057601261,4.189654742026425,1772
301,65,17.435595774162696,84.0,247,221,4.61512051684126,3.912023005428146,1540
302,78,19.924858845171276,85.0,375,370,5.0689042022202315,4.1588830833596715,2116
303,69,18.734993995195193,83.0,295,255,4.948759890378168,3.8918202981106265,1759
304,75,17.349351572897472,67.0,365,365,5.313205979041787,4.02535169073515,1952
305,60,16.792855623746664,66.0,251,214,4.812184355372417,3.8918202981106265,1476
306,72,19.544820285692065,80.0,359,334,5.099866427824199,3.9512437185814275,1982
307,74,19.026297590440446,68.0,342,293,4.990432586778736,4.07753744390572,1870
308,62,16.822603841260722,64.0,273,253,4.859812404361672,4.060443010546419,1573
309,57,15.716233645501712,67.0,263,240,4.941642422609304,3.9889840465642745,1492
310,73,19.05255888325765,75.0,346,335,4.762173934797756,3.9318256327243257,1896
311,74,19.949937343260004,68.0,304,328,4.499809670330265,3.970291913552122,1793
312,63,15.066519173319364,77.0,290,252,4.6913478822291435,3.9318256327243257,1532
313,58,16.46207763315433,72.0,247,226,4.875197323201151,4.007333185232471,1497
314,74,19.8997487421324,86.0,314,300,4.6443908991413725,3.784189633918261,1838
315,70,18.788294228055936,73.0,276,289,4.836281906951478,4.04305126783455,1753
316,74,19.235384061671343,82.0,306,306,5.117993812416755,4.060443010546419,1887
317,72,18.734993995195193,85.0,341,327,4.948759890378168,3.8501476017100584,1872
318,60,16.55294535724685,70.0,290,240,4.624972813284271,3.8918202981106265,1530
319,58,15.652475842498529,69.0,209,225,4.574710978503383,3.970291913552122,1392
320,55,15.905973720586866,62.0,230,210,4.61512051684126,3.713572066704308,1377
321,61,16.431676725154983,70.0,274,240,4.454347296253507,3.912023005428146,1484
322,71,18.76166303929372,71.0,327,327,5.0106352940962555,3.8918202981106265,1829
323,69,18.0,71.0,310,262,4.927253685157205,3.713572066704308,1696
324,68,17.944358444926362,74.0,341,297,4.9344739331306915,4.060443010546419,1774
325,73,18.16590212458495,70.0,339,310,4.983606621708336,4.110873864173311,1857
326,78,19.493588689617926,91.0,359,343,5.0689042022202315,3.9512437185814275,2043
327,67,17.204650534085253,74.0,295,220,4.442651256490317,3.970291913552122,1564
328,74,19.544820285692065,72.0,355,314,4.983606621708336,2.9444389791664403,1921
329,72,19.131126469708992,79.0,349,334,5.049856007249537,4.04305126783455,1957
330,76,19.183326093250876,86.0,328,333,5.123963979403259,3.871201010907891,1939
331,75,19.672315572906,77.0,379,307,5.056245805348308,3.9889840465642745,1970
332,59,17.11724276862369,48.0,207,238,5.0369526024136295,3.784189633918261,1490
333,67,17.74823934929885,57.0,300,309,4.430816798843313,4.04305126783455,1628
334,64,17.97220075561143,57.0,327,294,4.990432586778736,4.060443010546419,1707
335,65,17.11724276862369,62.0,294,278,4.948759890378168,3.9512437185814275,1645
336,65,17.146428199482248,76.0,266,236,4.2626798770413155,4.0943445622221,1529
337,62,16.881943016134134,74.0,304,264,5.030437921392435,3.828641396489095,1630
338,74,19.1049731745428,75.0,356,356,5.187385805840755,3.9318256327243257,2022
339,69,17.916472867168917,71.0,304,308,5.298317366548036,4.0943445622221,1836
340,75,19.28730152198591,80.0,276,337,5.056245805348308,3.871201010907891,1914
341,76,19.467922333931785,78.0,328,327,5.170483995038151,3.828641396489095,1961
342,62,17.635192088548397,68.0,240,232,4.820281565605037,3.7376696182833684,1547
343,67,17.776388834631177,77.0,339,306,5.181783550292085,4.110873864173311,1862
344,65,18.24828759089466,75.0,244,232,4.77912349311153,4.04305126783455,1592
345,74,18.76166303929372,75.0,331,287,4.812184355372417,3.828641396489095,1828
346,72,19.4164878389476,77.0,290,287,5.049856007249537,4.127134385045092,1859
347,67,18.0,67.0,279,267,4.663439094112067,3.9512437185814275,1617
348,74,18.05547008526779,77.0,292,307,5.049856007249537,3.9889840465642745,1776
349,67,18.57417562100671,75.0,341,310,5.099866427824199,3.828641396489095,1869
350,66,17.52141546793523,68.0,300,219,4.343805421853684,4.007333185232471,1587
351,73,19.28730152198591,67.0,336,322,4.812184355372417,4.110873864173311,1886
352,66,17.86057109949175,81.0,266,251,4.727387818712341,3.871201010907891,1605
353,68,18.138357147217054,85.0,321,254,3.9318256327243257,3.8918202981106265,1668
