,bp,position,foot,a/w,d/w
108,CAM,CAM,Left,High,Medium
109,CAM,CAM,Right,Medium,Medium
110,CAM,CAM,Left,Medium,Medium
111,CAM,CAM,Right,Medium,Medium
112,CAM,CAM,Right,Medium,Medium
113,CAM,CAM,Left,Medium,Medium
114,CAM,CAM,Right,Medium,Medium
115,CAM,CAM,Right,High,Medium
116,CAM,CAM,Left,Medium,Medium
117,CAM,CAM,Right,Medium,Medium
118,CAM,CAM,Left,High,Low
119,CAM,CAM,Right,Medium,Low
120,CAM,CAM,Right,High,Medium
121,CM,CAM,Left,Medium,Medium
122,CAM,CAM,Right,Medium,Medium
123,CAM,CAM,Right,Medium,Low
124,CAM,CAM,Left,High,Low
125,CAM,CAM,Right,Medium,Medium
126,CAM,CAM,Right,High,Medium
127,CAM,CAM,Right,Medium,Medium
128,CAM,CAM,Right,Medium,Medium
129,CAM,CAM,Right,High,Low
130,CAM,CAM,Left,Medium,Medium
131,CM,CAM,Left,Medium,High
132,CAM,CAM,Right,Medium,Low
133,CAM,CAM,Left,Medium,Medium
134,CAM,CAM,Right,High,Medium
135,CAM,CAM,Right,Medium,Medium
136,CAM,CAM,Right,Medium,Medium
137,LM,CAM,Left,Medium,Medium
138,CAM,CAM,Right,Medium,Medium
139,CAM,CAM,Right,High,Medium
140,CAM,CAM,Right,Medium,Medium
141,CAM,CAM,Right,Medium,Medium
142,CAM,CAM,Right,High,Medium
143,CAM,CAM,Left,Medium,Medium
144,RM,CAM,Right,High,Medium
145,CAM,CAM,Right,Medium,Medium
146,CAM,CAM,Right,Medium,Medium
147,RM,CAM,Right,Medium,Medium
148,CAM,CAM,Left,Medium,Medium
149,CAM,CAM,Right,Medium,Medium
150,CAM,CAM,Right,Medium,Medium
151,CAM,CAM,Right,Medium,Medium
152,CAM,CAM,Right,High,Low
153,CAM,CAM,Right,Medium,Medium
154,CAM,CAM,Right,High,Medium
155,CAM,CAM,Left,Medium,Medium
156,CAM,CAM,Left,Medium,Medium
157,CAM,CAM,Left,Medium,Medium
158,CAM,CAM,Right,High,Medium
159,CAM,CAM,Right,High,Low
160,CAM,CAM,Right,High,Medium
161,CAM,CAM,Right,High,Low
162,CAM,CAM,Right,High,High
163,CAM,CAM,Right,Medium,High
164,CAM,CAM,Right,Medium,Medium
165,CAM,CAM,Right,High,Medium
166,CAM,CAM,Left,High,Medium
167,CAM,CAM,Right,Medium,Low
168,CAM,CAM,Left,High,Low
169,CAM,CAM,Right,Medium,Medium
170,CAM,CAM,Right,Medium,Medium
171,CAM,CAM,Right,High,Medium
172,CAM,CAM,Right,Medium,Medium
173,CAM,CAM,Left,Medium,Low
174,CAM,CAM,Right,Medium,Medium
175,CAM,CAM,Right,Medium,Medium
176,CAM,CAM,Right,Medium,Medium
177,CF,CAM,Right,Medium,Medium
178,RM,CAM,Right,Medium,High
179,CM,CAM,Left,High,Medium
180,CAM,CAM,Right,Medium,Low
181,CAM,CAM,Right,High,Medium
182,CAM,CAM,Left,High,Medium
183,CAM,CAM,Right,High,High
184,LM,CAM,Left,High,Low
185,CAM,CAM,Left,Medium,Medium
186,ST,CAM,Right,High,High
187,CAM,CAM,Right,Medium,Medium
188,CAM,CAM,Left,Medium,Medium
189,CAM,CAM,Right,High,Low
190,CAM,CAM,Left,Medium,Medium
191,CAM,CAM,Right,Medium,Medium
192,CAM,CAM,Right,Medium,Low
193,CAM,CAM,Left,High,Medium
194,CAM,CAM,Right,Medium,Medium
195,RM,CAM,Right,High,Medium
196,CAM,CAM,Right,Medium,Medium
197,CAM,CAM,Left,Medium,Medium
198,CAM,CAM,Left,High,Medium
199,CAM,CAM,Right,Medium,Medium
200,CAM,CAM,Right,Medium,Medium
201,CAM,CAM,Right,Medium,Medium
202,CAM,CAM,Right,Medium,Medium
203,CAM,CAM,Right,Medium,Medium
204,CAM,CAM,Right,High,Low
205,CAM,CAM,Right,Medium,Low
206,CAM,CAM,Left,Medium,Medium
207,CAM,CAM,Right,High,Medium
208,CAM,CAM,Right,Medium,Medium
209,CM,CAM,Right,Medium,Medium
210,CAM,CAM,Left,High,Low
211,CAM,CAM,Right,Medium,Low
212,CF,CAM,Right,High,Medium
213,CM,CAM,Left,Medium,Low
214,CAM,CAM,Right,High,Medium
215,CAM,CAM,Right,Medium,Medium
216,LM,CAM,Left,Medium,Low
217,LWB,CAM CDM,Left,Medium,Medium
218,CAM,CAM CDM,Right,High,Medium
219,CAM,CAM CDM,Right,Medium,Low
220,CM,CAM CDM,Right,Medium,Medium
221,CAM,CAM CDM,Left,Medium,Medium
222,CM,CAM CDM,Right,Medium,Medium
223,CAM,CAM CDM,Left,Medium,Medium
224,CAM,CAM CDM,Right,Medium,Medium
225,CAM,CAM CDM,Right,Medium,Medium
226,CM,CAM CDM CM,Left,Medium,Medium
227,CAM,CAM CDM CM,Right,Medium,Medium
228,CDM,CAM CDM CM,Right,Medium,Medium
229,CAM,CAM CDM CM,Right,Medium,Medium
230,CAM,CAM CDM LM,Left,Medium,Medium
231,CAM,CAM CF,Right,Medium,Low
232,CAM,CAM CF,Right,High,Medium
233,CAM,CAM CF,Right,High,Low
234,CAM,CAM CF,Left,High,Medium
235,CAM,CAM CF,Right,High,Medium
236,CAM,CAM CF,Left,High,Low
237,CAM,CAM CF,Right,Medium,Medium
238,CAM,CAM CF,Right,High,Medium
239,CAM,CAM CF,Left,High,Medium
240,CAM,CAM CF,Left,High,Medium
241,CAM,CAM CF,Right,Medium,Medium
242,CAM,CAM CF,Left,High,Low
243,CAM,CAM CF,Right,Medium,Medium
244,CAM,CAM CF,Right,Medium,Medium
245,CAM,CAM CF,Right,High,Medium
246,CAM,CAM CF,Right,Medium,Medium
247,CAM,CAM CF,Left,Medium,Low
248,CAM,CAM CF,Right,Medium,Low
249,CAM,CAM CF,Right,High,Medium
250,CAM,CAM CF,Left,Medium,Medium
251,RM,CAM CF,Right,Low,Low
252,CAM,CAM CF,Right,High,Medium
253,RM,CAM CF,Right,Medium,Medium
254,CAM,CAM CF,Right,Medium,Low
255,RM,CAM CF,Right,High,Medium
256,CAM,CAM CF CM,Right,Medium,Medium
257,CAM,CAM CF CM,Right,High,Medium
258,ST,CAM CF CM,Right,Medium,Medium
259,CAM,CAM CF CM,Left,Medium,Medium
260,ST,CAM CF CM,Right,High,High
261,CAM,CAM CF LM,Right,Medium,Medium
262,ST,CAM CF LM,Right,High,Medium
263,CAM,CAM CF LW,Right,Medium,Low
264,RM,CAM CF RM,Right,High,Medium
265,CAM,CAM CF RM,Left,High,Medium
266,CAM,CAM CF RM,Right,Medium,Medium
267,CAM,CAM CF RW,Left,High,Low
268,LM,CAM CF RW,Left,High,Low
269,CAM,CAM CF ST,Right,High,Medium
270,CAM,CAM CF ST,Left,Medium,Medium
271,RM,CAM CF ST,Right,High,Medium
272,CAM,CAM CF ST,Left,Medium,Low
273,CAM,CAM CF ST,Right,Medium,Medium
274,CAM,CAM CF ST,Right,Medium,Low
275,CAM,CAM CF ST,Right,Medium,Low
276,RM,CAM CF ST,Right,High,Low
277,CAM,CAM CF ST,Right,High,Medium
278,CAM,CAM CF ST,Right,High,Medium
279,CAM,CAM CM,Right,High,Medium
280,RM,CAM CM,Right,High,Medium
281,CM,CAM CM,Right,Low,Medium
282,CAM,CAM CM,Right,High,Medium
283,CAM,CAM CM,Right,Medium,Medium
284,CAM,CAM CM,Right,Medium,Low
285,CAM,CAM CM,Right,High,Medium
286,RM,CAM CM,Right,High,Medium
287,CAM,CAM CM,Right,Medium,Medium
288,CAM,CAM CM,Right,Medium,Medium
289,CAM,CAM CM,Right,High,Medium
290,CAM,CAM CM,Left,Medium,Medium
291,CAM,CAM CM,Right,High,High
292,CAM,CAM CM,Right,High,Medium
293,CAM,CAM CM,Right,Medium,High
294,CAM,CAM CM,Right,Medium,Medium
295,CAM,CAM CM,Right,Medium,Low
296,CAM,CAM CM,Right,High,Medium
297,CAM,CAM CM,Left,High,High
298,CAM,CAM CM,Left,High,Medium
299,CAM,CAM CM,Right,High,Medium
300,CAM,CAM CM,Right,High,Medium
301,CAM,CAM CM,Right,Medium,Medium
302,CAM,CAM CM,Right,Medium,Medium
303,CAM,CAM CM,Left,High,Medium
304,CAM,CAM CM,Right,High,Medium
305,CAM,CAM CM,Right,Medium,Medium
306,CAM,CAM CM,Left,Medium,Medium
307,CAM,CAM CM,Left,Medium,Medium
308,CAM,CAM CM,Right,Medium,Medium
309,CAM,CAM CM,Right,Medium,Medium
310,CAM,CAM CM,Right,Medium,Medium
311,CAM,CAM CM,Left,Medium,Low
312,ST,CAM CM,Right,Medium,Medium
313,CAM,CAM CM,Right,Medium,Medium
314,LM,CAM CM,Left,Medium,Low
315,CAM,CAM CM,Right,Medium,Low
316,CAM,CAM CM,Right,Medium,Low
317,CAM,CAM CM,Left,Medium,Medium
318,CAM,CAM CM,Right,High,High
319,CAM,CAM CM,Right,Medium,Medium
320,CAM,CAM CM,Right,High,Low
321,CAM,CAM CM,Right,Medium,Medium
322,CAM,CAM CM,Right,Medium,Low
323,CAM,CAM CM,Right,High,Low
324,CAM,CAM CM,Right,High,Medium
325,CAM,CAM CM,Right,Medium,Medium
326,CAM,CAM CM,Right,High,Low
327,RM,CAM CM,Right,Medium,Medium
328,CAM,CAM CM,Left,Medium,Medium
329,RM,CAM CM,Right,Medium,Medium
330,CAM,CAM CM,Right,High,Low
331,CAM,CAM CM,Right,High,Medium
332,CAM,CAM CM,Left,Medium,Low
333,CAM,CAM CM,Right,Medium,Medium
334,CAM,CAM CM,Right,High,High
335,CAM,CAM CM,Left,High,Medium
336,RM,CAM CM,Right,High,Medium
337,CAM,CAM CM,Right,Medium,Medium
338,CAM,CAM CM,Right,High,Medium
339,RM,CAM CM,Right,High,High
340,CAM,CAM CM,Right,High,High
341,CAM,CAM CM,Left,Medium,Medium
342,CAM,CAM CM,Left,Medium,Low
343,CAM,CAM CM,Right,High,Medium
344,CAM,CAM CM,Right,High,Medium
345,RM,CAM CM,Right,Medium,Medium
346,CAM,CAM CM,Right,Medium,Low
347,CAM,CAM CM,Left,Medium,Medium
348,CAM,CAM CM,Right,Medium,Medium
349,CAM,CAM CM,Left,Medium,Medium
350,LM,CAM CM,Left,Medium,Medium
351,CAM,CAM CM,Right,High,Medium
352,CAM,CAM CM,Right,High,Medium
353,CAM,CAM CM,Right,Medium,Medium
354,CAM,CAM CM,Left,Medium,Low
355,CAM,CAM CM,Left,Medium,Medium
356,LM,CAM CM,Left,Medium,Medium
357,CAM,CAM CM,Right,Medium,Medium
358,CAM,CAM CM,Right,Medium,Medium
359,CAM,CAM CM,Right,Medium,Medium
360,CAM,CAM CM,Right,Medium,Medium
361,CAM,CAM CM,Right,Medium,Medium
362,CAM,CAM CM,Left,Medium,Low
363,RM,CAM CM,Right,High,Medium
364,CAM,CAM CM,Right,High,Medium
365,CAM,CAM CM,Left,Medium,Medium
366,CAM,CAM CM,Right,High,High
367,CAM,CAM CM,Right,High,High
368,CAM,CAM CM,Right,Medium,Medium
369,CAM,CAM CM,Left,Medium,Medium
370,CAM,CAM CM,Right,Medium,Medium
371,CAM,CAM CM,Right,Medium,Medium
372,CAM,CAM CM,Left,Medium,Low
373,CAM,CAM CM,Left,Medium,Medium
374,CAM,CAM CM,Right,Medium,Medium
375,CAM,CAM CM,Right,Medium,Medium
376,CAM,CAM CM,Left,High,Medium
377,CAM,CAM CM,Right,High,Medium
378,CAM,CAM CM,Right,Medium,Medium
379,CAM,CAM CM,Right,Medium,Medium
380,CAM,CAM CM,Right,High,Low
381,RM,CAM CM,Right,High,High
382,CAM,CAM CM,Left,Medium,Medium
383,RM,CAM CM,Right,High,High
384,CAM,CAM CM,Right,High,Medium
385,CAM,CAM CM,Left,Medium,Medium
386,CAM,CAM CM,Right,Medium,Medium
387,CAM,CAM CM,Right,Medium,Medium
388,CAM,CAM CM,Right,Medium,Medium
389,RM,CAM CM,Right,Medium,Medium
390,CAM,CAM CM,Right,High,Medium
391,ST,CAM CM,Right,High,Medium
392,RM,CAM CM,Right,Medium,Medium
393,CAM,CAM CM,Right,High,Medium
394,CAM,CAM CM,Right,Medium,High
395,CAM,CAM CM,Right,Medium,Medium
396,CAM,CAM CM,Right,Medium,Low
397,RM,CAM CM,Right,Medium,Medium
398,CAM,CAM CM,Right,High,Low
399,CAM,CAM CM,Right,Medium,Medium
400,CAM,CAM CM,Left,Medium,Medium
401,CAM,CAM CM,Right,Medium,Medium
402,CAM,CAM CM,Right,High,Medium
403,CAM,CAM CM,Right,Medium,Low
404,CAM,CAM CM,Right,Medium,Low
405,CAM,CAM CM,Right,Medium,Medium
406,CAM,CAM CM,Left,Medium,Medium
407,CAM,CAM CM,Left,Medium,Medium
408,CAM,CAM CM,Left,High,Medium
409,CAM,CAM CM,Right,High,Medium
410,CAM,CAM CM,Right,Medium,Low
411,CAM,CAM CM,Left,Medium,Medium
412,CAM,CAM CM,Right,High,Medium
413,CAM,CAM CM,Right,High,Medium
414,CAM,CAM CM,Right,High,Medium
415,CAM,CAM CM,Right,Medium,Low
416,CAM,CAM CM,Right,Medium,Medium
417,CAM,CAM CM,Right,Medium,Medium
418,CAM,CAM CM,Right,Medium,Medium
419,CAM,CAM CM,Right,Medium,Low
420,CAM,CAM CM,Right,Medium,Medium
421,CAM,CAM CM,Right,Medium,Medium
422,CAM,CAM CM,Right,High,High
423,CAM,CAM CM,Left,High,Low
424,CAM,CAM CM,Right,Medium,Medium
425,RM,CAM CM,Right,Medium,High
426,CAM,CAM CM,Right,Medium,Medium
427,CAM,CAM CM,Left,Medium,Medium
428,CAM,CAM CM,Right,Medium,High
429,RM,CAM CM,Right,Medium,Medium
430,CAM,CAM CM,Right,Medium,Medium
431,CAM,CAM CM,Right,Medium,Medium
432,CM,CAM CM,Left,Medium,Medium
433,CAM,CAM CM,Left,High,Medium
434,CAM,CAM CM,Right,High,High
435,CAM,CAM CM,Left,Medium,Medium
436,RM,CAM CM,Right,Medium,Medium
437,CAM,CAM CM,Right,Medium,Low
438,CAM,CAM CM,Right,Medium,Medium
439,RM,CAM CM,Right,Medium,Medium
440,CAM,CAM CM,Left,High,Low
441,CAM,CAM CM,Right,Medium,Medium
442,CAM,CAM CM,Right,Medium,Medium
443,CAM,CAM CM,Right,Medium,Medium
444,CAM,CAM CM,Right,Medium,Medium
445,CAM,CAM CM,Left,Medium,Medium
446,RM,CAM CM,Right,High,Medium
447,CAM,CAM CM,Right,Medium,High
448,CAM,CAM CM,Right,High,Low
449,CAM,CAM CM,Right,Medium,Medium
450,LM,CAM CM,Left,Medium,Medium
451,RM,CAM CM,Right,Medium,Medium
452,RM,CAM CM,Right,Medium,Medium
453,RM,CAM CM,Right,High,Low
454,CAM,CAM CM,Right,Medium,Medium
455,CAM,CAM CM,Right,Medium,Medium
456,CAM,CAM CM,Right,High,Medium
457,CAM,CAM CM,Right,High,Medium
458,CAM,CAM CM,Right,Medium,Medium
459,CM,CAM CM,Right,Medium,Medium
460,CAM,CAM CM,Right,High,Medium
461,CAM,CAM CM,Left,High,Medium
462,CAM,CAM CM,Right,Medium,Medium
463,CAM,CAM CM,Right,Medium,Low
464,CAM,CAM CM,Right,High,Medium
465,CAM,CAM CM,Right,Medium,Medium
466,CM,CAM CM,Right,Medium,Low
467,CAM,CAM CM,Right,Medium,Medium
468,CAM,CAM CM,Right,Medium,Medium
469,CAM,CAM CM,Right,Medium,Medium
470,CAM,CAM CM,Right,High,Medium
471,CAM,CAM CM,Left,Medium,Medium
472,CDM,CAM CM,Right,High,High
473,CM,CAM CM,Right,High,High
474,CAM,CAM CM,Right,High,Medium
475,CAM,CAM CM,Left,Medium,Medium
476,CAM,CAM CM,Left,Medium,Medium
477,CAM,CAM CM,Right,High,High
478,CAM,CAM CM,Right,High,High
479,CAM,CAM CM,Right,High,Medium
480,CAM,CAM CM,Right,Medium,Medium
481,CAM,CAM CM,Right,Medium,Medium
482,CAM,CAM CM,Right,High,Medium
483,CAM,CAM CM,Left,High,Medium
484,CAM,CAM CM,Left,High,Medium
485,CAM,CAM CM,Right,High,Medium
486,CAM,CAM CM,Right,High,Medium
487,CAM,CAM CM,Right,Medium,Low
488,CAM,CAM CM,Left,High,Medium
489,CAM,CAM CM,Right,High,Medium
490,CAM,CAM CM,Right,High,Low
491,CAM,CAM CM,Left,High,Medium
492,CAM,CAM CM,Right,High,Low
493,RM,CAM CM,Right,High,High
494,CAM,CAM CM,Right,Medium,Medium
495,CAM,CAM CM,Right,High,Medium
496,CAM,CAM CM,Right,Medium,Medium
497,ST,CAM CM,Left,Medium,Medium
498,RM,CAM CM,Right,High,Medium
499,CAM,CAM CM,Right,Medium,Medium
500,CAM,CAM CM,Right,Medium,Medium
501,CAM,CAM CM,Right,High,High
502,CAM,CAM CM,Right,Medium,Medium
503,CAM,CAM CM,Right,Medium,Low
504,CAM,CAM CM,Right,High,Medium
505,RM,CAM CM,Right,High,High
506,CAM,CAM CM,Right,High,Medium
507,CAM,CAM CM,Left,Medium,Low
508,ST,CAM CM,Right,High,Medium
509,CM,CAM CM,Left,High,Medium
510,LM,CAM CM,Left,High,Low
511,CM,CAM CM,Left,High,Medium
512,CAM,CAM CM,Right,Medium,Low
513,ST,CAM CM,Right,Medium,Medium
514,CAM,CAM CM CDM,Left,Medium,Medium
515,CAM,CAM CM CDM,Right,Medium,Medium
516,RW,CAM CM CDM,Right,High,High
517,CAM,CAM CM CDM,Right,Medium,Medium
518,CAM,CAM CM CDM,Right,High,Medium
519,CAM,CAM CM CDM,Right,Medium,Medium
520,LM,CAM CM CDM,Left,Medium,Medium
521,RM,CAM CM CDM,Right,Medium,Medium
522,CAM,CAM CM CDM,Right,Medium,Medium
523,CAM,CAM CM CDM,Right,Medium,High
524,CAM,CAM CM CDM,Left,High,Medium
525,RM,CAM CM CDM,Right,High,High
526,CAM,CAM CM CDM,Right,Medium,Medium
527,CAM,CAM CM CDM,Right,Medium,Medium
528,CAM,CAM CM CDM,Right,Medium,Medium
529,CAM,CAM CM CDM,Right,Medium,Low
530,CAM,CAM CM CDM,Right,Medium,Medium
531,CAM,CAM CM CF,Right,Medium,Medium
532,CDM,CAM CM CF,Right,High,High
533,ST,CAM CM CF,Right,Medium,Low
534,CAM,CAM CM CF,Right,Medium,Medium
535,RM,CAM CM CF,Right,Medium,Medium
536,CAM,CAM CM CF,Right,High,Medium
537,CAM,CAM CM CF,Left,High,Low
538,CAM,CAM CM CF,Right,High,High
539,CAM,CAM CM LM,Right,Medium,Medium
540,RM,CAM CM LM,Right,Medium,Medium
541,CAM,CAM CM LM,Right,High,Medium
542,CAM,CAM CM LM,Right,High,Medium
543,RM,CAM CM LM,Right,High,Medium
544,RM,CAM CM LM,Right,Medium,Medium
545,CAM,CAM CM LM,Left,High,Medium
546,CAM,CAM CM LM,Right,Medium,Medium
547,CAM,CAM CM LM,Right,High,Medium
548,RW,CAM CM LM,Right,High,Medium
549,ST,CAM CM LM,Right,Medium,Medium
550,CAM,CAM CM LM,Right,Medium,Medium
551,CAM,CAM CM LM,Left,Medium,Medium
552,CAM,CAM CM LM,Right,Medium,Medium
553,RM,CAM CM LM,Right,Medium,Low
554,CAM,CAM CM LM,Right,Medium,Medium
555,LM,CAM CM LM,Left,Medium,Medium
556,RM,CAM CM LM,Right,Medium,Low
557,ST,CAM CM LM,Right,Medium,Medium
558,CAM,CAM CM LM,Right,Medium,Medium
559,CAM,CAM CM LM,Right,Medium,Medium
560,CAM,CAM CM LM,Right,High,Medium
561,CAM,CAM CM LM,Right,Medium,Low
562,CAM,CAM CM LM,Right,Medium,Medium
563,CAM,CAM CM LM,Left,Medium,Medium
564,CAM,CAM CM LM,Left,High,Low
565,CAM,CAM CM LM,Right,High,Medium
566,CAM,CAM CM LM,Left,Medium,Medium
567,CAM,CAM CM LM,Right,Medium,Medium
568,CAM,CAM CM LM,Right,High,Medium
569,RM,CAM CM LM,Right,High,Medium
570,CAM,CAM CM LM,Right,High,High
571,CAM,CAM CM LM,Left,Medium,Medium
572,CAM,CAM CM LM,Right,Medium,Low
573,CAM,CAM CM LW,Right,High,High
574,RM,CAM CM LW,Right,High,Medium
575,CAM,CAM CM LW,Right,High,Medium
576,RM,CAM CM LW,Right,Medium,Medium
577,CAM,CAM CM LW,Right,High,High
578,CAM,CAM CM LW,Right,Medium,Low
579,CAM,CAM CM LW,Right,High,Medium
580,CAM,CAM CM LW,Right,Medium,Low
581,CAM,CAM CM LW,Right,Medium,Medium
582,RM,CAM CM LW,Right,High,High
583,CAM,CAM CM LW,Right,High,Medium
584,CAM,CAM CM LW,Right,Medium,Medium
585,CAM,CAM CM LW,Right,Medium,Medium
586,CAM,CAM CM RM,Right,High,Low
587,CAM,CAM CM RM,Left,Medium,Medium
588,CAM,CAM CM RM,Right,High,High
589,CAM,CAM CM RM,Right,High,Low
590,CAM,CAM CM RM,Right,Medium,Medium
591,CAM,CAM CM RM,Right,High,Medium
592,CAM,CAM CM RM,Right,High,Medium
593,CAM,CAM CM RM,Right,Medium,Medium
594,CAM,CAM CM RM,Right,High,Medium
595,RW,CAM CM RM,Right,Low,Low
596,ST,CAM CM RM,Right,Medium,Medium
597,CAM,CAM CM RM,Left,Medium,Medium
598,CAM,CAM CM RM,Right,High,Medium
599,RM,CAM CM RM,Right,Medium,Medium
600,CAM,CAM CM RM,Left,Medium,Medium
601,CAM,CAM CM RM,Right,Medium,Medium
602,CAM,CAM CM RM,Right,Medium,Medium
603,CAM,CAM CM RM,Left,Medium,Medium
604,CAM,CAM CM RM,Left,High,Medium
605,CAM,CAM CM RM,Right,Medium,Medium
606,CAM,CAM CM RM,Right,Medium,Medium
607,RM,CAM CM RM,Right,Medium,Medium
608,CAM,CAM CM RM,Left,High,High
609,CAM,CAM CM RM,Left,High,Medium
610,CAM,CAM CM RM,Right,High,Medium
611,CAM,CAM CM RM,Right,Medium,Medium
612,RM,CAM CM RW,Right,Medium,Medium
613,CAM,CAM CM RW,Left,High,Medium
614,CAM,CAM CM RW,Right,High,Medium
615,CAM,CAM CM RW,Left,High,Medium
616,CAM,CAM CM RW,Right,Medium,Medium
617,CAM,CAM CM RW,Left,High,Medium
618,ST,CAM CM ST,Right,Medium,Medium
619,ST,CAM CM ST,Right,Medium,Medium
620,CAM,CAM CM ST,Right,High,Medium
621,CAM,CAM CM ST,Left,Medium,Medium
622,RM,CAM CM ST,Right,Medium,Medium
623,CAM,CAM CM ST,Right,Medium,Medium
624,CAM,CAM CM ST,Right,Medium,Medium
625,CAM,CAM CM ST,Right,High,Medium
626,CAM,CAM LB,Left,Medium,Medium
627,RM,CAM LM,Right,High,Medium
628,CAM,CAM LM,Right,Medium,Medium
629,CAM,CAM LM,Right,Medium,Low
630,RM,CAM LM,Right,High,Medium
631,LM,CAM LM,Left,Medium,Medium
632,RM,CAM LM,Right,High,Medium
633,CAM,CAM LM,Right,Medium,Low
634,CAM,CAM LM,Right,Medium,Medium
635,CAM,CAM LM,Left,High,Low
636,RM,CAM LM,Right,Medium,Medium
637,ST,CAM LM,Right,High,Medium
638,CAM,CAM LM,Left,High,Medium
639,CAM,CAM LM,Right,High,Low
640,CAM,CAM LM,Right,Medium,Medium
641,CAM,CAM LM,Left,Medium,Medium
642,CAM,CAM LM,Right,High,Medium
643,CAM,CAM LM,Right,Medium,Low
644,RM,CAM LM,Right,Medium,Low
645,CAM,CAM LM,Right,High,Medium
646,LM,CAM LM,Left,Medium,Medium
647,CAM,CAM LM,Right,Medium,Medium
