,weight,w/f,sm,ir,hits,inch_height,bov,skill,agility,power,mentality,defending,goalkeeping,total_stats
28,137,5,2,1,8.0,69,59,4.038502993721818,67.0,247,262,1.6206242722269526,1.3481114856713152,1536
29,172,3,3,1,3.0,71,64,4.13022058844706,68.0,307,264,1.5976977501549372,1.4397184637016933,1676
30,152,4,3,1,9.0,66,68,4.309776748395062,88.0,300,302,1.6304056399335578,1.4012920835590674,1858
31,159,3,2,1,189.0,71,63,4.046072854478142,70.0,249,222,1.493880539808272,1.3184623205053285,1448
32,154,3,3,1,7.0,69,59,4.0,67.0,264,215,1.5711511089688401,1.3053227409632366,1471
33,148,3,4,1,4.0,67,68,4.281390285856145,75.0,302,275,1.569453284877013,1.3691038556058743,1757
34,168,3,3,1,20.0,72,63,4.126667707233817,74.0,281,247,1.4885839460327333,1.3788396218579066,1562
35,174,3,3,1,19.0,74,66,4.2162055019449864,47.0,271,250,1.607522596743224,1.396999671219974,1623
36,146,4,3,1,5.0,66,68,4.209518398423904,66.0,294,304,1.533577726591972,1.3247380861805318,1684
37,148,3,3,1,5.0,68,68,4.226176889280873,72.0,314,284,1.5514907132708071,1.3425100134968837,1729
38,154,3,3,1,37.0,72,73,4.268590769596987,80.0,328,298,1.5744972839952205,1.3691038556058743,1813
39,141,4,3,1,7.0,68,64,4.18244613647754,77.0,264,247,1.537718545324583,1.396999671219974,1572
40,159,2,2,1,6.0,70,57,3.9643705232359037,67.0,216,215,1.50648771329857,1.3535647976324747,1383
41,159,2,3,1,44.0,70,64,4.242640687119285,62.0,295,267,1.520543522634296,1.3691038556058743,1633
42,132,4,3,1,6.0,67,67,4.172157138163568,80.0,352,237,1.4990284086108943,1.3588769911382217,1658
43,161,3,2,1,3.0,72,62,4.154837722659222,72.0,297,227,1.5744972839952205,1.3184623205053285,1567
44,146,3,3,2,25.0,69,69,4.43248042346365,57.0,326,354,1.6473032557366176,1.4054932385256123,1915
45,132,3,2,1,11.0,65,58,3.968376966471762,76.0,230,230,1.5159789342503565,1.3481114856713152,1436
46,148,4,4,1,11.0,67,78,4.466535272810459,80.0,358,332,1.607522596743224,1.4136356249281932,2022
47,139,3,3,1,3.0,68,62,4.090623489235047,81.0,276,225,1.5476647089811362,1.3788396218579066,1560
48,154,4,3,1,9.0,70,72,4.294076025710976,70.0,332,319,1.5293379817722996,1.3588769911382217,1782
49,161,3,4,1,3.0,68,73,4.418056280305078,77.0,295,300,1.606153850141491,1.4252465486463906,1870
50,154,3,2,1,10.0,70,59,3.996088014880467,69.0,273,256,1.533577726591972,1.3535647976324747,1491
51,154,3,3,1,7.0,70,64,4.179024909781345,68.0,264,276,1.6218792042124106,1.3425100134968837,1654
52,148,3,2,1,3.0,66,60,4.094270950271881,70.0,246,234,1.569453284877013,1.3247380861805318,1515
53,146,4,3,1,3.0,71,63,4.202799273419526,77.0,260,242,1.6102268623203686,1.3835365735581087,1639
54,152,2,2,1,12.0,66,60,4.151347725692716,69.0,211,228,1.5437533966819692,1.3691038556058743,1470
55,143,3,3,1,4.0,68,70,4.328393927913123,81.0,291,279,1.5015489517809617,1.3425100134968837,1729
56,159,5,4,1,189.0,72,75,4.37689890912139,85.0,336,291,1.5314704927383054,1.4054932385256123,1846
57,148,3,2,1,5.0,67,55,4.007789715567548,75.0,215,213,1.5533727917527633,1.4096066464289525,1428
58,150,3,2,1,32.0,68,66,4.206162860964151,74.0,302,289,1.5857192195601266,1.392612283633577,1725
59,146,3,3,1,6.0,67,73,4.306650321420513,84.0,287,272,1.5677385634836343,1.3740303948169557,1788
60,154,3,2,1,54.0,69,65,4.165255283040581,80.0,270,234,1.4912513280732116,1.2913203187398075,1542
61,141,3,3,1,16.0,69,59,4.057348596454873,61.0,232,278,1.5962460680403698,1.4054932385256123,1510
62,132,3,3,1,4.0,68,57,3.98822939668556,78.0,225,214,1.5711511089688401,1.3740303948169557,1437
63,141,3,2,1,9.0,67,71,4.290915128445443,74.0,279,245,1.4831304777411851,1.3881259789913998,1649
64,137,3,2,1,3.0,66,64,4.02323427807015,70.0,306,248,1.5457199360997627,1.3367528183009176,1536
65,165,4,3,1,9.0,68,73,4.403489460605682,63.0,323,332,1.5962460680403698,1.4136356249281932,1906
66,139,3,3,1,24.0,66,68,4.242640687119285,79.0,261,260,1.5809998372418241,1.392612283633577,1674
67,143,3,2,1,6.0,68,57,3.952277742240961,68.0,293,196,1.4803421887365897,1.392612283633577,1407
68,139,2,2,1,3.0,67,56,4.003900540957704,71.0,257,206,1.5437533966819692,1.3247380861805318,1414
69,143,3,4,1,73.0,68,74,4.290915128445443,88.0,294,290,1.493880539808272,1.4012920835590674,1760
70,150,3,2,1,5.0,71,57,4.0,70.0,226,235,1.569453284877013,1.3425100134968837,1432
71,146,4,3,1,7.0,68,67,4.165255283040581,80.0,310,272,1.5711511089688401,1.3535647976324747,1708
72,150,3,3,1,3.0,70,67,4.255675067045749,80.0,334,273,1.6304056399335578,1.3835365735581087,1801
73,150,3,3,1,7.0,67,61,4.179024909781345,71.0,282,259,1.562489821742864,1.3640546328884455,1604
74,137,4,3,1,4.0,66,67,4.322214905840454,89.0,261,267,1.6088802117007757,1.4012920835590674,1738
75,165,2,2,1,3.0,74,52,4.011667600815287,53.0,236,206,1.5793972284736488,1.3740303948169557,1391
76,137,4,3,1,5.0,67,65,4.097908689044531,71.0,240,265,1.5136524718106426,1.2839620094543296,1524
77,157,4,4,2,10.0,67,77,4.441067768376882,91.0,310,318,1.520543522634296,1.4096066464289525,1923
78,154,3,2,1,12.0,68,62,4.185858988061498,59.0,247,241,1.5777794472527427,1.3640546328884455,1551
79,154,4,4,2,3.0,69,69,4.294076025710976,70.0,289,272,1.465736890326896,1.3535647976324747,1665
80,154,3,2,1,6.0,70,64,4.02323427807015,74.0,324,227,1.3788396218579066,1.3367528183009176,1531
81,150,3,4,1,28.0,67,76,4.37391431897208,85.0,330,315,1.6429663002001658,1.3691038556058743,1923
82,128,3,2,1,5.0,65,62,4.02323427807015,74.0,236,225,1.5271796258079011,1.4012920835590674,1488
83,168,3,2,1,4.0,70,57,3.9803240468277026,70.0,243,236,1.5514907132708071,1.2337220363428747,1448
84,146,3,2,1,8.0,69,53,3.9400729303224864,78.0,196,204,1.511295614460169,1.3640546328884455,1319
85,176,4,4,2,4.0,73,77,4.423842875914664,70.0,369,328,1.639635655072424,1.3835365735581087,2010
86,154,3,2,1,36.0,69,58,4.1087641713943786,73.0,263,241,1.599137017997089,1.3691038556058743,1572
87,154,3,2,1,20.0,70,66,4.147848904442549,84.0,300,235,1.524994838195378,1.3247380861805318,1568
88,154,3,2,1,3.0,71,60,4.112363617834367,72.0,251,222,1.569453284877013,1.3247380861805318,1519
89,161,3,3,1,3.0,70,64,4.094270950271881,65.0,267,230,1.5040351003996315,1.3835365735581087,1517
90,148,2,3,1,13.0,69,68,4.147848904442549,76.0,311,242,1.4498980416116356,1.3835365735581087,1579
91,139,3,3,1,3.0,67,61,4.147848904442549,72.0,262,249,1.537718545324583,1.3247380861805318,1530
92,152,3,2,1,4.0,69,58,3.968376966471762,77.0,252,199,1.4563938230443614,1.396999671219974,1404
93,143,2,3,1,61.0,67,67,4.212865930610521,84.0,255,245,1.5227830126997552,1.3640546328884455,1639
94,163,3,3,1,24.0,70,70,4.319115430985566,71.0,317,296,1.6206242722269526,1.3184623205053285,1803
95,150,3,2,1,4.0,71,59,4.075935196471621,60.0,266,253,1.5761462244678353,1.3367528183009176,1526
96,150,4,3,2,7.0,67,65,4.309776748395062,67.0,243,325,1.5809998372418241,1.417583312645218,1703
97,157,4,4,2,9.0,68,72,4.361914440981213,68.0,296,319,1.5227830126997552,1.3640546328884455,1772
98,132,3,5,2,7.0,68,76,4.429606852797275,87.0,309,283,1.5314704927383054,1.4012920835590674,1855
99,148,3,2,1,6.0,68,59,4.046072854478142,67.0,271,260,1.5793972284736488,1.3691038556058743,1530
100,161,2,2,1,4.0,70,63,4.064813850824943,67.0,240,245,1.5809998372418241,1.3691038556058743,1523
101,163,4,3,1,34.0,73,73,4.31289638615841,70.0,339,285,1.5777794472527427,1.2913203187398075,1780
102,139,4,2,1,4.0,67,63,4.206162860964151,70.0,301,251,1.5777794472527427,1.4054932385256123,1615
103,159,3,3,1,3.0,70,60,4.1443412066717755,57.0,250,242,1.5677385634836343,1.3535647976324747,1517
104,146,3,2,1,3.0,70,56,3.968376966471762,62.0,233,217,1.582587535887981,1.3535647976324747,1419
105,163,3,3,1,3.0,69,64,4.242640687119285,77.0,310,273,1.6255876731852767,1.3835365735581087,1754
106,159,4,2,1,3.0,69,65,4.185858988061498,78.0,300,249,1.537718545324583,1.3740303948169557,1646
107,154,3,3,1,3.0,72,54,3.9236213270830116,66.0,244,227,1.5607042729746456,1.3691038556058743,1404
108,141,3,4,1,5.0,70,64,4.168710495702809,68.0,284,246,1.572832342456985,1.4096066464289525,1606
109,157,3,2,1,3.0,70,55,4.079622161069973,64.0,212,215,1.5040351003996315,1.3788396218579066,1382
110,154,2,2,1,5.0,70,59,4.147848904442549,58.0,236,228,1.5793972284736488,1.3740303948169557,1486
111,123,2,3,1,5.0,67,56,4.038502993721818,87.0,213,210,1.533577726591972,1.3425100134968837,1434
112,139,4,3,1,48.0,71,64,4.154837722659222,78.0,228,235,1.5314704927383054,1.2763452613426045,1495
113,143,3,3,1,4.0,67,66,4.172157138163568,72.0,324,282,1.524994838195378,1.4054932385256123,1686
114,161,3,2,1,3.0,71,57,4.038502993721818,63.0,284,211,1.533577726591972,1.3119942346184028,1431
115,165,4,3,1,23.0,70,72,4.300376961256644,83.0,343,313,1.5589001622577283,1.417583312645218,1873
116,152,2,2,1,3.0,74,58,4.027067759577291,70.0,281,238,1.582587535887981,1.3184623205053285,1524
117,134,3,2,1,3.0,66,62,4.179024909781345,58.0,247,236,1.614202647204422,1.242924991852436,1569
118,165,3,3,1,3.0,72,71,4.306650321420513,78.0,333,313,1.5711511089688401,1.392612283633577,1840
119,146,2,3,1,3.0,69,66,4.02323427807015,86.0,278,234,1.3588769911382217,1.4012920835590674,1522
120,154,2,5,1,115.0,70,75,4.391731039349508,87.0,308,305,1.569453284877013,1.3588769911382217,1863
121,157,3,3,1,4.0,69,74,4.3437267713466055,77.0,354,340,1.6625993768319907,1.3588769911382217,1985
122,143,3,3,1,5.0,67,66,4.262147595354359,67.0,346,288,1.5660066297600124,1.4252465486463906,1783
123,150,4,4,1,26.0,69,73,4.367926742556349,79.0,288,286,1.5933046536324995,1.3835365735581087,1804
124,143,3,3,1,289.0,65,78,4.37689890912139,81.0,350,310,1.5841605801847392,1.3881259789913998,1909
125,146,3,3,1,12.0,70,63,4.13022058844706,87.0,246,229,1.5159789342503565,1.392612283633577,1544
126,150,3,4,1,116.0,69,78,4.43248042346365,82.0,296,335,1.633928354228994,1.2763452613426045,1929
127,154,4,2,1,3.0,70,60,4.094270950271881,79.0,242,230,1.5777794472527427,1.3481114856713152,1514
128,185,3,2,1,14.0,75,66,4.168710495702809,59.0,311,283,1.5677385634836343,1.3691038556058743,1653
129,150,3,3,1,3.0,69,68,4.239363248839551,70.0,294,282,1.5182757199460604,1.4214526816086592,1726
130,132,3,3,1,31.0,67,67,4.21953715646217,82.0,236,243,1.5040351003996315,1.3788396218579066,1582
131,174,3,3,1,7.0,71,70,4.297229958079901,61.0,369,348,1.6019790905057438,1.3835365735581087,1900
132,150,3,2,1,3.0,69,63,4.258915019957202,72.0,275,242,1.6218792042124106,1.3640546328884455,1696
133,150,3,3,1,23.0,67,73,4.346773933354619,83.0,303,272,1.5841605801847392,1.392612283633577,1796
134,137,3,2,1,3.0,65,65,4.340673182977126,77.0,281,264,1.5015489517809617,1.3881259789913998,1684
135,165,3,2,1,4.0,73,62,4.079622161069973,53.0,272,238,1.5809998372418241,1.3425100134968837,1515
136,161,3,3,1,3.0,71,61,4.123105625617661,69.0,283,276,1.5744972839952205,1.3691038556058743,1608
137,159,2,3,1,3.0,69,65,4.158318947097563,74.0,273,252,1.53975317897557,1.3425100134968837,1594
138,137,3,2,1,4.0,66,61,4.072238199292498,82.0,236,227,1.535660233235027,1.3367528183009176,1495
139,161,4,3,1,30.0,69,77,4.379877406189684,84.0,341,315,1.5947817710037706,1.3788396218579066,1926
140,154,4,3,1,4.0,70,59,4.034702045517079,68.0,242,230,1.5642571600471569,1.396999671219974,1486
141,141,3,2,1,21.0,69,62,4.119534287814235,70.0,239,216,1.5040351003996315,1.3535647976324747,1421
142,150,3,4,2,61.0,68,80,4.40641439709744,85.0,368,354,1.582587535887981,1.396999671219974,2050
143,146,2,4,3,34.0,69,76,4.443919177722688,79.0,336,333,1.5660066297600124,1.3053227409632366,1960
144,137,5,3,1,3.0,67,68,4.140824579655875,72.0,288,240,1.5857192195601266,1.3184623205053285,1619
145,137,3,2,1,3.0,69,57,4.126667707233817,44.0,212,238,1.6088802117007757,1.4136356249281932,1503
146,170,4,3,1,10.0,71,72,4.340673182977126,66.0,348,320,1.5642571600471569,1.3881259789913998,1838
147,141,2,3,1,9.0,66,67,4.252427697213101,82.0,251,266,1.5857192195601266,1.392612283633577,1681
148,165,3,2,1,4.0,71,63,4.068531105601486,69.0,286,233,1.5793972284736488,1.4136356249281932,1558
149,165,3,2,1,11.0,71,65,4.189263512215989,73.0,308,297,1.6451493117368803,1.3640546328884455,1773
150,157,3,2,1,4.0,65,56,3.9236213270830116,63.0,273,246,1.5677385634836343,1.3247380861805318,1457
151,163,3,2,1,11.0,72,59,4.061086369737861,62.0,281,262,1.5933046536324995,1.3308317646057786,1551
152,181,4,4,1,4.0,72,67,4.268590769596987,72.0,291,300,1.569453284877013,1.3308317646057786,1722
153,146,4,3,1,4.0,68,61,4.192659756198557,59.0,272,236,1.562489821742864,1.3691038556058743,1573
154,141,4,3,1,10.0,66,69,4.19604776684668,90.0,350,301,1.5976977501549372,1.417583312645218,1842
155,163,5,2,1,3.0,69,73,4.358898943540674,75.0,352,295,1.5476647089811362,1.3881259789913998,1902
156,157,2,3,1,3.0,69,63,4.10153676580629,79.0,279,223,1.5841605801847392,1.3788396218579066,1574
157,174,3,2,1,54.0,72,65,4.229485053762256,75.0,274,228,1.4858773557530183,1.4289675858306226,1565
158,143,3,2,1,20.0,65,58,3.9803240468277026,74.0,261,221,1.520543522634296,1.3481114856713152,1473
159,132,4,2,1,5.0,68,59,4.097908689044531,78.0,257,262,1.5976977501549372,1.3367528183009176,1556
160,174,3,2,1,5.0,74,61,4.172157138163568,55.0,246,241,1.590311111517258,1.3425100134968837,1510
161,148,3,4,1,4.0,68,66,4.18244613647754,75.0,318,244,1.557077128137304,1.4096066464289525,1650
162,161,4,3,1,3.0,69,65,4.158318947097563,76.0,355,299,1.5976977501549372,1.3835365735581087,1798
163,141,2,3,1,4.0,67,62,4.094270950271881,86.0,242,263,1.5947817710037706,1.3053227409632366,1566
164,165,3,3,1,4.0,71,61,4.015534272870435,65.0,284,239,1.5182757199460604,1.3425100134968837,1512
165,141,4,2,1,3.0,68,54,3.956320998414882,49.0,243,213,1.5841605801847392,1.3425100134968837,1404
166,143,5,3,1,8.0,68,72,4.367926742556349,82.0,348,319,1.5514907132708071,1.3367528183009176,1917
167,150,4,3,1,41.0,69,71,4.300376961256644,79.0,312,271,1.5841605801847392,1.4054932385256123,1791
168,126,4,4,2,13.0,63,74,4.409333520524795,92.0,294,267,1.4885839460327333,1.4431723270012284,1817
169,154,2,3,1,23.0,70,67,4.255675067045749,66.0,298,254,1.5872636973025485,1.3740303948169557,1667
170,154,3,2,1,8.0,70,61,4.094270950271881,70.0,259,214,1.533577726591972,1.3835365735581087,1503
171,163,3,2,1,6.0,70,61,4.119534287814235,67.0,270,223,1.5417646344281224,1.4136356249281932,1514
172,172,4,2,1,3.0,71,55,3.9236213270830116,53.0,276,222,1.55523479881416,1.298435801589627,1398
173,172,3,4,2,23.0,72,77,4.460913442573438,77.0,324,327,1.55523479881416,1.3691038556058743,1915
174,143,3,3,1,7.0,69,61,4.185858988061498,77.0,252,224,1.572832342456985,1.392612283633577,1557
175,168,3,2,1,3.0,71,61,4.192659756198557,45.0,264,238,1.614202647204422,1.3691038556058743,1554
176,150,3,3,1,4.0,72,64,4.112363617834367,73.0,329,277,1.5933046536324995,1.3881259789913998,1694
177,132,3,3,1,3.0,63,66,4.189263512215989,77.0,323,309,1.5962460680403698,1.3881259789913998,1771
178,161,4,4,1,57.0,70,78,4.37391431897208,87.0,352,298,1.572832342456985,1.392612283633577,1941
179,154,3,2,1,3.0,68,59,4.038502993721818,60.0,274,270,1.6155070422290247,1.3588769911382217,1573
180,159,3,3,1,3.0,69,61,4.105155240225724,75.0,236,217,1.4964725796851872,1.3053227409632366,1446
181,163,3,3,1,5.0,71,66,4.245910547493899,74.0,303,299,1.6088802117007757,1.3535647976324747,1759
182,159,3,4,1,46.0,70,72,4.334546600055874,84.0,305,282,1.4990284086108943,1.3835365735581087,1774
183,176,3,3,1,23.0,72,73,4.209518398423904,69.0,350,292,1.6268054862616488,1.2684529660545276,1827
184,165,2,2,1,3.0,70,53,3.9194759210559282,51.0,254,202,1.55523479881416,1.392612283633577,1363
185,141,2,3,1,4.0,65,56,4.038502993721818,57.0,222,207,1.524994838195378,1.4012920835590674,1386
186,185,2,3,3,8.0,72,75,4.255675067045749,65.0,384,381,1.652565565295187,1.3535647976324747,2041
187,168,3,3,1,4.0,72,67,4.278201166112122,62.0,318,313,1.6102268623203686,1.3835365735581087,1779
188,150,3,4,1,139.0,70,74,4.334546600055874,77.0,330,296,1.5136524718106426,1.3640546328884455,1818
189,154,3,2,1,7.0,71,53,3.9723713117053268,65.0,235,237,1.5314704927383054,1.3740303948169557,1398
190,150,3,3,1,45.0,69,63,4.179024909781345,74.0,266,242,1.5533727917527633,1.3535647976324747,1579
191,165,4,4,1,4.0,69,60,4.064813850824943,65.0,309,273,1.5607042729746456,1.3881259789913998,1576
192,146,3,3,1,10.0,70,72,4.352849103919916,70.0,294,288,1.53975317897557,1.3691038556058743,1806
193,159,3,3,1,3.0,67,64,4.206162860964151,76.0,331,296,1.5793972284736488,1.3788396218579066,1750
194,141,3,2,1,10.0,69,61,4.140824579655875,74.0,243,250,1.6102268623203686,1.2913203187398075,1585
195,159,4,4,1,13.0,71,61,4.115953637505823,76.0,267,233,1.582587535887981,1.3535647976324747,1576
196,163,3,3,1,9.0,71,70,4.319115430985566,70.0,292,340,1.5227830126997552,1.396999671219974,1780
197,139,3,3,1,12.0,70,63,4.061086369737861,74.0,246,261,1.5793972284736488,1.3881259789913998,1566
198,154,3,3,1,12.0,70,72,4.370923606578225,72.0,296,250,1.5793972284736488,1.4136356249281932,1773
199,154,3,3,1,6.0,67,58,4.02323427807015,81.0,240,237,1.5642571600471569,1.436201191916192,1497
200,161,3,4,1,11.0,70,65,4.232785473794877,70.0,331,294,1.6206242722269526,1.3119942346184028,1762
201,154,5,3,1,8.0,69,61,4.064813850824943,76.0,228,216,1.511295614460169,1.396999671219974,1452
202,148,4,4,1,4.0,67,72,4.300376961256644,75.0,286,301,1.4746366515748413,1.396999671219974,1754
203,185,4,3,1,4.0,71,66,4.229485053762256,84.0,319,292,1.6231246605584686,1.3788396218579066,1815
204,161,4,3,1,3.0,70,64,4.222860937815382,66.0,303,300,1.6088802117007757,1.3247380861805318,1715
205,148,4,4,1,26.0,69,71,4.31289638615841,72.0,282,255,1.557077128137304,1.392612283633577,1709
206,179,3,3,1,10.0,74,63,4.086966245088166,56.0,293,256,1.611562712266506,1.392612283633577,1588
207,148,4,4,2,52.0,67,81,4.474928423394143,90.0,359,364,1.6483695513605736,1.4252465486463906,2133
208,154,3,2,1,7.0,69,64,4.209518398423904,78.0,265,235,1.5089076184613552,1.3367528183009176,1559
209,161,3,2,1,3.0,72,56,4.046072854478142,47.0,234,221,1.5918145056013675,1.3788396218579066,1416
210,148,2,4,2,119.0,66,80,4.49157444576309,89.0,311,327,1.533577726591972,1.4054932385256123,1947
211,159,3,2,1,3.0,68,60,3.976353643835253,73.0,300,235,1.5293379817722996,1.2684529660545276,1455
212,150,4,2,1,3.0,68,67,4.255675067045749,68.0,340,302,1.524994838195378,1.4136356249281932,1789
213,190,2,3,1,13.0,75,72,4.340673182977126,61.0,369,342,1.652565565295187,1.3308317646057786,1948
214,150,3,3,1,4.0,70,60,3.976353643835253,63.0,304,230,1.4803421887365897,1.3247380861805318,1476
215,168,4,3,1,187.0,73,61,4.161791450287818,65.0,264,242,1.55523479881416,1.4289675858306226,1570
216,150,3,2,1,3.0,73,52,3.8643478781119174,64.0,243,201,1.533577726591972,1.4012920835590674,1341
217,150,3,3,1,6.0,70,68,4.258915019957202,74.0,285,258,1.6654905987582682,1.3535647976324747,1741
218,143,3,2,1,4.0,69,64,4.13729897017652,70.0,264,279,1.6429663002001658,1.3640546328884455,1672
219,165,3,3,1,4.0,70,65,4.189263512215989,75.0,307,262,1.5314704927383054,1.3588769911382217,1632
220,161,4,4,3,26.0,69,79,4.49157444576309,67.0,321,339,1.6606423387649303,1.260266326229238,1965
221,148,3,3,1,25.0,69,75,4.337613136533361,84.0,346,335,1.6218792042124106,1.4012920835590674,1959
222,159,4,3,1,9.0,72,76,4.370923606578225,68.0,331,360,1.6683301937789266,1.4252465486463906,1970
223,163,3,2,1,3.0,73,62,4.034702045517079,58.0,283,273,1.6373766762290247,1.4136356249281932,1599
224,146,3,2,1,3.0,70,54,3.9803240468277026,55.0,240,249,1.5841605801847392,1.3308317646057786,1425
225,159,3,4,1,15.0,70,73,4.400558683966967,76.0,354,315,1.61935972946482,1.3425100134968837,1950
226,154,4,3,1,8.0,71,75,4.403489460605682,73.0,363,349,1.6809467148946111,1.4012920835590674,2059
227,154,3,2,1,4.0,69,57,4.0,61.0,267,213,1.572832342456985,1.3425100134968837,1445
228,165,3,3,1,9.0,72,73,4.239363248839551,57.0,381,335,1.6683301937789266,1.3881259789913998,1951
229,168,3,3,1,9.0,70,66,4.226176889280873,74.0,316,262,1.53975317897557,1.3691038556058743,1678
230,165,3,3,1,7.0,71,64,4.19942759058284,74.0,282,284,1.611562712266506,1.4096066464289525,1697
231,148,4,3,1,5.0,69,63,4.097908689044531,83.0,253,230,1.5314704927383054,1.3740303948169557,1502
232,137,4,2,1,5.0,65,68,4.258915019957202,63.0,342,265,1.4498980416116356,1.3308317646057786,1693
233,157,2,4,1,3.0,70,76,4.400558683966967,79.0,345,307,1.4885839460327333,1.3835365735581087,1894
234,159,3,3,1,5.0,69,61,4.147848904442549,68.0,244,238,1.5271796258079011,1.4012920835590674,1523
235,183,4,4,3,21.0,73,78,4.441067768376882,68.0,319,332,1.465736890326896,1.0799182995220822,1832
236,154,3,3,1,6.0,67,72,4.361914440981213,90.0,318,278,1.4563938230443614,1.3640546328884455,1803
237,165,3,2,1,8.0,71,62,4.011667600815287,74.0,295,232,1.50648771329857,1.392612283633577,1541
238,143,3,4,1,14.0,67,66,4.21953715646217,67.0,283,289,1.5933046536324995,1.3535647976324747,1693
239,157,5,4,1,4.0,69,77,4.43248042346365,86.0,332,304,1.4431723270012284,1.4054932385256123,1906
240,157,5,4,1,9.0,69,77,4.43248042346365,88.0,343,304,1.4326183300679207,1.4054932385256123,1911
241,154,3,2,1,3.0,71,60,3.8985489805273272,68.0,282,214,1.3481114856713152,1.3308317646057786,1388
242,172,4,3,1,4.0,72,72,4.319115430985566,72.0,316,291,1.4595599466308458,1.3691038556058743,1759
243,148,3,2,1,6.0,68,58,4.090623489235047,52.0,242,219,1.5293379817722996,1.3691038556058743,1439
244,170,3,2,1,12.0,69,64,4.115953637505823,55.0,267,241,1.5976977501549372,1.3535647976324747,1576
245,134,4,4,2,73.0,64,80,4.537759390048573,93.0,308,332,1.4775113193551406,1.1133440539599853,1925
246,174,3,2,1,5.0,73,65,4.172157138163568,62.0,305,278,1.6033822739252712,1.3640546328884455,1668
247,154,4,3,1,7.0,68,67,4.319115430985566,72.0,300,300,1.533577726591972,1.4054932385256123,1762
248,139,3,5,1,99.0,69,64,4.232785473794877,77.0,252,202,1.3053227409632366,1.4054932385256123,1490
249,157,4,4,4,313.0,71,85,4.532398767118152,83.0,373,360,1.5857192195601266,1.4136356249281932,2147
250,157,4,3,1,19.0,71,60,4.168710495702809,64.0,292,217,1.4912513280732116,1.3308317646057786,1507
251,154,3,3,1,3.0,71,60,4.165255283040581,68.0,319,240,1.4252465486463906,1.3740303948169557,1584
252,130,3,3,1,5.0,65,62,4.086966245088166,90.0,223,215,1.50648771329857,1.3788396218579066,1428
253,172,3,3,1,5.0,71,58,4.011667600815287,78.0,285,207,1.5457199360997627,1.3247380861805318,1458
