,bov,attacking,skill,agility,power,mentality,defending,goalkeeping,total_stats
277,71,338,336,78.0,350,316,149,41,1910
278,78,334,370,81.0,336,303,106,44,1878
279,61,256,265,80.0,269,217,136,52,1536
280,74,296,339,87.0,343,280,133,55,1845
281,69,339,353,56.0,339,334,150,51,1857
282,77,322,374,79.0,336,339,172,61,1979
283,75,351,358,74.0,366,331,173,53,2001
284,68,284,310,87.0,280,219,98,62,1641
285,73,281,349,80.0,311,277,119,56,1754
286,60,262,280,85.0,266,249,127,52,1601
287,75,322,363,75.0,323,340,168,47,1916
288,61,261,276,70.0,272,247,141,47,1576
289,73,331,350,79.0,329,294,176,55,1896
290,73,336,381,74.0,325,338,121,65,1907
291,76,332,339,69.0,347,349,178,55,1961
292,70,303,341,58.0,312,281,148,59,1763
293,77,339,383,76.0,342,295,176,67,1962
294,65,284,311,74.0,304,266,108,54,1648
295,74,336,380,74.0,323,322,161,51,1928
296,74,334,367,82.0,336,349,184,59,2004
297,77,305,331,90.0,379,332,153,42,1967
298,64,294,317,71.0,337,248,148,51,1738
299,65,312,320,70.0,321,294,110,69,1756
300,68,312,337,62.0,313,292,142,66,1772
301,65,261,304,84.0,247,221,101,50,1540
302,78,364,397,85.0,375,370,159,64,2116
303,69,289,351,83.0,295,255,141,49,1759
304,75,311,301,67.0,365,365,203,56,1952
305,60,224,282,66.0,251,214,123,49,1476
306,72,323,382,80.0,359,334,164,52,1982
307,74,329,362,68.0,342,293,147,59,1870
308,62,248,283,64.0,273,253,129,58,1573
309,57,242,247,67.0,263,240,140,54,1492
310,73,339,363,75.0,346,335,117,51,1896
311,74,361,398,68.0,304,328,90,53,1793
312,63,247,227,77.0,290,252,109,51,1532
313,58,240,271,72.0,247,226,131,55,1497
314,74,323,396,86.0,314,300,104,44,1838
315,70,297,353,73.0,276,289,126,57,1753
316,74,322,370,82.0,306,306,167,58,1887
317,72,294,351,85.0,341,327,141,47,1872
318,60,239,274,70.0,290,240,102,49,1530
319,58,226,245,69.0,209,225,97,53,1392
320,55,229,253,62.0,230,210,101,41,1377
321,61,237,270,70.0,274,240,86,50,1484
322,71,282,352,71.0,327,327,150,49,1829
323,69,281,324,71.0,310,262,138,41,1696
324,68,283,322,74.0,341,297,139,58,1774
325,73,321,330,70.0,339,310,146,61,1857
326,78,339,380,91.0,359,343,159,52,2043
327,67,272,296,74.0,295,220,85,53,1564
328,74,348,382,72.0,355,314,146,19,1921
329,72,306,366,79.0,349,334,156,57,1957
330,76,317,368,86.0,328,333,168,48,1939
331,75,321,387,77.0,379,307,157,54,1970
332,59,258,293,48.0,207,238,154,44,1490
333,67,274,315,57.0,300,309,84,57,1628
334,64,283,323,57.0,327,294,147,58,1707
335,65,264,293,62.0,294,278,141,52,1645
336,65,243,294,76.0,266,236,71,60,1529
337,62,250,285,74.0,304,264,153,46,1630
338,74,354,365,75.0,356,356,179,51,2022
339,69,292,321,71.0,304,308,200,60,1836
340,75,346,372,80.0,276,337,157,48,1914
341,76,351,379,78.0,328,327,176,46,1961
342,62,280,311,68.0,240,232,124,42,1547
343,67,312,316,77.0,339,306,178,61,1862
344,65,274,333,75.0,244,232,119,57,1592
345,74,328,352,75.0,331,287,123,46,1828
346,72,327,377,77.0,290,287,156,62,1859
347,67,290,324,67.0,279,267,106,52,1617
348,74,301,326,77.0,292,307,156,54,1776
349,67,313,345,75.0,341,310,164,46,1869
350,66,274,307,68.0,300,219,77,55,1587
351,73,348,372,67.0,336,322,123,61,1886
352,66,276,319,81.0,266,251,113,48,1605
353,68,295,329,85.0,321,254,51,49,1668
354,70,293,340,87.0,314,273,121,54,1764
355,55,227,261,58.0,241,203,87,58,1376
356,66,293,299,68.0,304,290,169,59,1763
357,65,265,297,76.0,276,288,170,60,1704
358,65,264,315,79.0,284,261,120,51,1656
359,64,257,313,68.0,311,281,127,60,1683
360,70,363,339,66.0,315,335,181,54,1911
361,67,281,304,78.0,321,275,160,48,1748
362,72,311,335,85.0,269,313,195,50,1852
363,68,296,342,82.0,342,280,106,68,1821
364,68,292,298,69.0,309,295,117,43,1688
365,69,308,351,87.0,308,269,84,63,1778
366,72,306,332,84.0,379,324,156,62,1970
367,74,299,344,68.0,322,274,151,44,1795
368,68,280,322,74.0,288,296,138,43,1716
369,75,326,355,70.0,313,291,142,49,1829
370,77,355,390,71.0,347,320,170,56,1993
371,67,272,318,80.0,295,253,148,45,1691
372,67,264,289,61.0,208,271,132,47,1533
373,64,261,310,88.0,250,246,121,51,1607
374,59,251,288,78.0,227,218,115,42,1470
375,62,252,310,80.0,279,262,123,50,1616
376,86,383,420,85.0,325,358,140,46,2060
377,63,271,281,83.0,303,229,84,47,1581
378,79,376,412,66.0,375,352,179,58,2066
379,69,316,335,70.0,285,323,132,60,1779
380,62,261,301,70.0,263,235,119,58,1586
381,75,357,368,84.0,346,376,180,56,2074
382,58,250,292,73.0,216,251,148,44,1522
383,68,275,306,75.0,312,292,184,49,1786
384,75,338,388,69.0,314,299,118,21,1813
385,61,269,297,71.0,294,262,120,43,1604
386,64,298,341,77.0,254,255,146,40,1670
387,77,326,368,77.0,342,337,133,42,1925
388,70,321,349,67.0,358,323,92,26,1796
389,72,320,365,83.0,236,297,114,50,1772
390,59,254,273,58.0,292,239,142,56,1557
391,75,349,353,69.0,350,309,128,56,1869
392,60,261,276,62.0,296,276,124,57,1597
393,73,317,361,79.0,317,335,155,61,1915
394,77,311,358,76.0,346,351,176,45,1962
395,56,209,247,61.0,260,210,75,58,1368
396,73,337,378,60.0,290,337,123,55,1813
397,68,288,308,77.0,321,269,110,57,1709
398,68,323,364,73.0,314,279,73,54,1756
399,51,222,228,67.0,190,209,111,57,1321
400,74,314,341,82.0,303,304,88,60,1764
401,59,242,266,75.0,250,237,124,62,1523
402,65,270,299,85.0,244,293,170,49,1696
403,75,360,386,70.0,334,329,136,52,1933
404,60,228,270,60.0,257,229,101,44,1442
405,70,306,309,85.0,338,276,118,59,1786
406,77,328,367,77.0,333,290,114,62,1862
407,66,254,328,64.0,294,230,43,54,1498
408,62,277,310,76.0,284,261,135,48,1670
409,61,251,289,65.0,263,259,154,50,1582
410,60,241,292,73.0,213,222,113,57,1443
411,68,323,347,72.0,263,269,100,60,1698
412,75,341,370,67.0,334,315,148,46,1894
413,65,276,290,72.0,343,285,144,48,1716
414,62,243,282,70.0,278,221,105,44,1497
415,73,301,345,74.0,326,306,166,54,1859
416,72,316,352,71.0,370,280,117,64,1853
417,70,307,345,80.0,340,287,108,51,1804
418,66,243,289,76.0,293,256,149,53,1636
419,67,308,337,80.0,294,284,88,57,1715
420,74,320,371,79.0,335,312,154,50,1913
421,71,299,349,75.0,336,312,147,55,1866
422,91,407,441,78.0,408,408,186,56,2304
423,73,326,380,66.0,314,324,132,56,1842
424,71,296,353,79.0,308,266,120,62,1767
425,76,307,342,87.0,333,338,192,54,1963
426,70,312,367,68.0,350,301,99,51,1778
427,71,327,359,67.0,304,310,159,49,1836
428,65,300,294,69.0,335,323,131,52,1763
429,57,240,261,52.0,236,223,137,52,1438
430,72,273,322,67.0,320,329,168,46,1789
431,58,245,258,72.0,226,225,121,62,1456
432,76,307,361,70.0,346,343,192,55,1944
433,74,329,353,84.0,351,352,172,63,2005
434,64,282,293,79.0,295,254,167,46,1688
435,81,329,362,87.0,302,342,164,52,1956
436,69,272,294,62.0,329,264,92,54,1642
437,57,216,270,72.0,230,197,95,39,1376
438,60,252,275,78.0,239,223,106,48,1492
439,63,292,286,60.0,258,253,93,59,1548
440,75,316,367,82.0,293,322,91,50,1815
441,66,290,314,67.0,286,274,156,56,1733
442,79,348,360,74.0,360,359,192,60,2050
443,62,260,285,69.0,278,247,148,54,1615
444,60,258,280,62.0,194,231,146,64,1485
445,68,273,299,76.0,258,258,120,44,1579
446,59,236,260,76.0,288,234,106,39,1516
447,66,275,311,71.0,315,288,146,44,1721
448,77,364,382,75.0,305,353,147,51,1923
449,62,251,299,73.0,303,231,113,52,1592
450,66,313,346,62.0,300,271,123,51,1727
451,63,223,246,77.0,272,232,75,47,1459
452,66,260,290,79.0,361,277,149,49,1779
453,65,251,297,79.0,281,217,112,51,1577
454,71,287,344,85.0,269,248,99,38,1666
455,58,248,264,52.0,271,259,132,57,1529
456,56,238,242,56.0,296,238,145,51,1491
457,70,259,286,82.0,277,282,149,52,1677
458,68,289,340,71.0,295,281,123,55,1714
459,72,327,366,63.0,354,359,174,47,1948
460,61,247,294,73.0,249,236,126,59,1542
461,71,335,381,71.0,345,305,153,51,1896
462,62,281,311,69.0,312,241,106,45,1613
463,73,300,350,81.0,312,274,122,60,1788
464,74,304,348,82.0,340,302,89,50,1814
465,68,285,322,83.0,315,311,181,50,1840
466,71,315,369,71.0,350,317,128,56,1826
467,75,342,364,74.0,326,308,163,49,1909
468,69,321,352,67.0,322,312,156,46,1848
469,79,338,392,83.0,349,325,163,60,2003
470,64,276,289,73.0,288,269,130,49,1641
471,70,292,338,89.0,332,310,159,43,1841
472,71,284,298,84.0,376,317,196,46,1879
473,80,394,391,57.0,356,369,165,54,1997
474,65,283,280,80.0,313,248,62,44,1596
475,66,257,309,69.0,329,284,149,68,1705
476,67,260,333,65.0,283,250,82,36,1580
477,73,282,315,73.0,334,325,171,46,1836
478,88,396,433,79.0,411,408,194,63,2303
479,87,375,401,84.0,376,304,160,55,2083
480,59,250,275,68.0,285,259,138,44,1557
481,63,260,293,72.0,271,242,148,55,1604
482,70,279,321,83.0,294,226,90,55,1643
483,63,255,287,82.0,276,232,130,46,1593
484,70,298,341,76.0,307,310,138,48,1808
485,65,290,303,73.0,333,289,157,43,1766
486,62,272,293,63.0,290,264,149,46,1641
487,75,341,378,83.0,278,301,143,54,1851
488,64,292,295,64.0,296,276,144,50,1681
489,76,341,365,81.0,345,349,150,57,1989
490,64,236,304,67.0,248,246,105,48,1528
491,68,263,288,72.0,313,283,169,47,1702
492,66,274,319,60.0,257,258,152,47,1633
493,66,254,279,82.0,323,291,155,42,1734
494,70,281,351,85.0,305,279,153,38,1814
495,74,348,369,72.0,330,344,133,62,1959
496,79,346,391,78.0,323,328,75,55,1898
497,66,291,303,71.0,349,266,112,51,1711
498,72,304,323,90.0,360,286,98,42,1817
499,65,276,314,74.0,312,263,131,56,1695
500,77,322,374,79.0,352,334,166,43,1963
501,86,393,393,75.0,390,399,203,41,2190
502,77,368,370,77.0,354,354,198,61,2063
503,59,237,249,65.0,271,211,105,40,1411
504,70,298,343,85.0,285,301,137,62,1813
505,60,236,262,70.0,283,211,57,49,1430
506,57,234,239,77.0,254,217,103,52,1451
507,66,269,339,59.0,236,264,110,49,1540
508,61,279,264,60.0,290,259,107,44,1548
509,63,248,349,68.0,305,257,131,45,1655
510,69,295,364,68.0,251,236,100,18,1588
511,71,308,347,66.0,351,319,168,61,1872
512,71,324,337,66.0,298,319,152,56,1812
513,70,314,305,67.0,344,313,171,51,1830
514,66,271,330,69.0,219,256,122,52,1566
515,67,274,313,77.0,267,272,160,54,1693
516,67,335,350,77.0,338,318,181,57,1921
517,81,367,378,69.0,356,366,216,53,2101
518,72,335,390,67.0,338,346,155,53,1941
519,69,300,311,71.0,327,288,122,57,1745
520,66,263,274,85.0,283,238,92,46,1564
521,65,292,295,81.0,326,277,73,52,1718
522,66,275,337,69.0,283,250,91,50,1610
523,68,290,334,70.0,333,288,178,55,1825
524,75,346,376,74.0,354,341,157,50,1980
525,68,297,317,71.0,330,326,186,50,1872
526,68,298,321,63.0,314,306,169,52,1786
527,71,317,335,64.0,337,317,192,49,1861
528,70,271,317,77.0,292,274,132,49,1702
529,64,277,294,60.0,343,286,119,63,1674
530,69,273,351,69.0,259,297,158,56,1739
531,70,299,336,77.0,302,274,88,47,1713
532,85,367,390,75.0,413,401,259,55,2270
533,67,301,285,64.0,281,219,85,53,1536
534,85,368,430,81.0,345,308,171,43,2048
535,64,266,283,73.0,294,285,178,40,1703
536,68,300,334,80.0,326,250,87,53,1706
537,68,300,359,58.0,289,308,140,54,1755
538,73,327,377,75.0,323,315,144,52,1890
539,72,315,376,90.0,306,304,80,50,1808
540,67,283,308,72.0,295,252,109,56,1645
541,73,346,375,63.0,368,334,162,40,1951
542,68,275,331,73.0,307,324,188,48,1832
543,72,311,345,88.0,320,275,117,46,1800
544,70,317,325,76.0,314,281,173,52,1824
545,71,288,325,79.0,279,292,148,61,1765
546,69,301,350,78.0,353,285,86,62,1809
547,70,306,326,68.0,333,264,80,46,1688
548,71,301,356,82.0,337,294,66,62,1798
549,66,314,309,72.0,349,320,188,47,1873
550,67,305,322,62.0,267,302,140,60,1716
551,62,258,305,76.0,271,267,126,57,1636
552,70,309,334,64.0,309,280,143,42,1735
553,64,287,303,74.0,295,251,90,44,1608
554,66,260,303,70.0,257,240,113,45,1568
555,57,260,259,75.0,243,224,89,57,1459
556,71,328,318,82.0,320,259,88,53,1740
557,68,317,319,58.0,339,305,119,60,1757
558,71,314,356,74.0,347,287,121,62,1830
559,71,293,319,77.0,278,273,111,60,1691
560,79,321,361,87.0,277,294,130,57,1832
561,60,267,302,74.0,276,198,60,48,1477
562,79,337,393,84.0,325,299,88,51,1889
563,64,270,281,56.0,245,252,131,54,1563
564,70,270,360,78.0,358,298,90,50,1800
565,71,318,340,87.0,301,265,85,53,1747
566,68,309,332,71.0,328,307,116,45,1782
567,74,313,378,67.0,366,334,208,46,1996
568,64,268,320,70.0,276,276,114,49,1620
569,74,320,355,80.0,339,336,167,54,1968
570,73,325,339,79.0,304,274,120,43,1776
571,69,292,324,80.0,304,267,116,56,1719
572,67,296,336,65.0,302,298,139,54,1751
573,83,376,404,88.0,379,337,174,61,2141
574,74,316,337,79.0,324,310,154,56,1889
575,69,272,306,81.0,296,304,148,58,1770
576,69,260,336,80.0,268,243,112,61,1648
577,74,308,341,84.0,331,275,84,59,1772
578,84,360,428,83.0,331,354,173,51,2080
579,83,342,416,86.0,341,347,166,65,2071
580,75,315,371,91.0,329,313,123,47,1915
581,81,377,397,80.0,368,338,147,50,2059
582,75,339,381,74.0,360,338,166,56,2000
583,82,356,396,79.0,337,334,132,56,1994
584,70,295,324,78.0,281,265,139,59,1726
585,74,331,374,74.0,294,292,115,45,1787
586,70,315,337,76.0,323,297,139,48,1808
587,85,366,416,85.0,335,356,165,62,2099
588,85,385,428,77.0,370,341,138,43,2090
589,68,277,279,76.0,308,304,150,67,1760
590,75,315,365,73.0,320,312,177,50,1895
591,72,332,359,75.0,325,300,138,52,1865
592,59,289,302,37.0,281,268,126,61,1576
593,75,348,387,78.0,338,331,132,54,1957
594,73,309,319,85.0,281,301,154,49,1819
595,66,304,342,81.0,305,247,104,60,1755
596,67,339,345,54.0,330,308,150,55,1802
597,64,258,289,67.0,264,271,143,39,1599
598,77,317,393,65.0,326,306,137,46,1862
599,69,317,296,81.0,344,283,151,50,1812
600,82,409,432,78.0,353,359,137,64,2099
601,64,276,326,76.0,297,284,108,49,1687
602,75,365,374,76.0,370,332,166,59,2025
603,70,316,374,83.0,334,314,101,64,1848
604,65,256,314,66.0,259,260,136,46,1599
